trade_id,signal_time,entry_time,entry_price,direction,initial_atr,stop_price,target_price,t5_time_c,mfe_at_t5_r_c,t5_result,exit_time,exit_bar,exit_price,exit_reason,gross_r_c,net_r,hold_minutes,entry_i,gross_r_i,mfe_at_t5_r_i,t5_time_i
P60-023397,,2023-07-11 08:47:00-05:00,15165.0,SHORT,17.625,15182.625,15120.9375,2027197.0,0.4397163120567376,FAIL,2027197,2027197,15146.25,T5_NO_PROGRESS,1.0638297872340425,1.0637819241554562,15,2027182,1.0638297872340425,0.4397163120567376,2027197.0
P60-023445,,2023-07-14 03:19:00-05:00,15720.25,SHORT,4.285714285714286,15724.535714285714,15709.535714285714,2031008.0,0.9916666666666667,FAIL,2031008,2031008,15719.25,T5_NO_PROGRESS,0.23333333333333334,0.2332872018973731,15,2030993,0.23333333333333334,0.9916666666666667,2031008.0
P60-023464,,2023-07-17 12:50:00-05:00,15816.25,LONG,5.392857142857143,15810.857142857143,15829.732142857143,2032959.0,0.9271523178807947,FAIL,2032959,2032959,15814.5,T5_NO_PROGRESS,-0.32450331125827814,-0.32454916582476045,15,2032944,-0.32450331125827814,0.9271523178807947,2032959.0
P60-023501,,2023-07-19 12:14:00-05:00,15948.0,SHORT,10.821428571428571,15958.82142857143,15920.94642857143,2035683.0,0.5313531353135313,FAIL,2035683,2035683,15944.25,T5_NO_PROGRESS,0.34653465346534656,0.3464891623518003,15,2035668,0.34653465346534656,0.5313531353135313,2035683.0
P60-023507,,2023-07-19 22:46:00-05:00,15883.25,LONG,1.7678571428571428,15881.482142857143,15887.669642857143,2036255.0,0.98989898989899,FAIL,2036255,2036255,15883.75,T5_NO_PROGRESS,0.2828282828282828,0.28278263217719884,15,2036240,0.2828282828282828,0.98989898989899,2036255.0
P60-023971,,2023-08-31 08:12:00-05:00,15490.5,SHORT,6.160714285714286,15496.660714285714,15475.098214285714,2078218.0,0.8521739130434782,FAIL,2078218,2078218,15489.0,T5_NO_PROGRESS,0.24347826086956523,0.24343143936903994,15,2078203,0.24347826086956523,0.8521739130434782,2078218.0
P60-024054,,2023-09-08 04:56:00-05:00,15237.25,SHORT,5.035714285714286,15242.285714285714,15224.660714285714,2086060.0,0.3475177304964539,FAIL,2086060,2086060,15238.0,T5_NO_PROGRESS,-0.14893617021276595,-0.14898376670703795,15,2086045,-0.14893617021276595,0.3475177304964539,2086060.0
P60-024057,,2023-09-08 13:14:00-05:00,15293.25,SHORT,8.857142857142858,15302.107142857143,15271.107142857143,2086558.0,0.7056451612903225,FAIL,2086558,2086558,15295.25,T5_NO_PROGRESS,-0.22580645161290322,-0.22585388562004868,15,2086543,-0.22580645161290322,0.7056451612903225,2086558.0
P60-024119,,2023-09-14 18:09:00-05:00,15682.25,LONG,2.0892857142857144,15680.160714285714,15687.473214285714,2092290.0,0.8376068376068375,FAIL,2092290,2092290,15682.25,T5_NO_PROGRESS,0.0,-4.62367709879067e-05,15,2092275,0.0,0.8376068376068375,2092290.0
P60-024135,,2023-09-17 19:50:00-05:00,15416.25,LONG,2.1785714285714284,15414.07142857143,15421.69642857143,2093771.0,0.5737704918032788,FAIL,2093771,2093771,15416.25,T5_NO_PROGRESS,0.0,-4.703494487875179e-05,15,2093756,0.0,0.5737704918032788,2093771.0
P60-024183,,2023-09-20 09:15:00-05:00,15373.0,SHORT,11.285714285714286,15384.285714285714,15344.785714285714,2097334.0,0.310126582278481,FAIL,2097334,2097334,15369.5,T5_NO_PROGRESS,0.310126582278481,0.31007938702497506,15,2097319,0.310126582278481,0.310126582278481,2097334.0
P60-024255,,2023-09-26 14:22:00-05:00,14679.75,SHORT,7.107142857142857,14686.857142857143,14661.982142857143,2103160.0,0.9849246231155779,FAIL,2103160,2103160,14678.0,T5_NO_PROGRESS,0.24623115577889448,0.24618174409436983,15,2103145,0.24623115577889448,0.9849246231155779,2103160.0
P60-024299,,2023-10-01 17:10:00-05:00,14964.25,LONG,14.732142857142858,14949.517857142857,15001.080357142857,2107408.0,0.7296969696969696,FAIL,2107408,2107408,14956.5,T5_NO_PROGRESS,-0.526060606060606,-0.5261091026079147,15,2107393,-0.526060606060606,0.7296969696969696,2107408.0
P60-024305,,2023-10-02 04:52:00-05:00,14901.5,SHORT,7.410714285714286,14908.910714285714,14882.973214285714,2108110.0,0.6072289156626506,FAIL,2108110,2108110,14902.0,T5_NO_PROGRESS,-0.06746987951807229,-0.06751855654599204,15,2108095,-0.06746987951807229,0.6072289156626506,2108110.0
