candidate_id,direction,timestamp,bar_index,event,state_before,state_after,open,high,low,close,atr,setup_score,same_bar_setup_bos,bos_level,bos_condition,retest_level,tolerance,band_lower,band_upper,touch_condition,invalid_condition,opposite_bos,directional_candle,close_beyond_bos_level,confirmed,failed_conditions,risk_points
230,Short,2026-08-14 09:25:00-05:00,14981,RETEST_ACCEPTED,SHORT_WAIT_RETEST,SHORT_WAIT_CONFIRM,29842.5,29851.75,29816.5,29842.5,35.12791369006077,,,,,29852.0,3.5127913690060772,,,,,,,,,,
230,Short,2026-08-14 09:30:00-05:00,14982,CONFIRM_EVALUATION,SHORT_WAIT_CONFIRM,SHORT_WAIT_CONFIRM,29842.0,29845.5,29811.25,29821.0,35.06520556934215,,,29852.0,,,,,,,False,False,True,True,True,[],
230,Short,2026-08-14 09:30:00-05:00,14982,CONFIRM_ENTRY,SHORT_WAIT_CONFIRM,IDLE,29842.0,29845.5,29811.25,29821.0,35.06520556934215,,,,,,,,,,,,,,,,52.597808354013225
231,Long,2026-08-14 15:55:00-05:00,15059,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29827.25,29837.0,29825.75,29836.25,12.28755434331215,75.0,,,,,,,,,,,,,,,
231,Long,2026-08-14 15:55:00-05:00,15059,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29827.25,29837.0,29825.75,29836.25,12.28755434331215,,True,29835.5,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29836.25; level=29835.5,,,,,,,,,,,,
231,Long,2026-08-16 17:00:00-05:00,15060,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29852.25,29878.25,29846.0,29870.25,14.409871890218426,,,,,29835.5,1.4409871890218426,29834.05901281098,29836.94098718902,False,False,False,,,,,
231,Long,2026-08-16 17:05:00-05:00,15061,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29871.0,29882.0,29869.25,29873.5,14.291309612345682,,,,,29835.5,1.4291309612345682,29834.070869038766,29836.929130961234,False,False,False,,,,,
231,Long,2026-08-16 17:10:00-05:00,15062,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29874.5,29884.75,29871.0,29878.75,14.252644640035275,,,,,29835.5,1.4252644640035275,29834.074735535996,29836.925264464004,False,False,False,,,,,
231,Long,2026-08-16 17:15:00-05:00,15063,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29880.0,29883.0,29873.75,29875.75,13.895312880032757,,,,,29835.5,1.3895312880032757,29834.110468711995,29836.889531288005,False,False,False,,,,,
231,Long,2026-08-16 17:20:00-05:00,15064,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29875.75,29881.5,29872.75,29874.25,13.527790531458988,,,,,29835.5,1.352779053145899,29834.147220946856,29836.852779053144,False,False,False,,,,,
231,Long,2026-08-16 17:25:00-05:00,15065,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29874.75,29878.25,29874.75,29875.0,12.847234064926203,,,,,29835.5,1.2847234064926205,29834.215276593506,29836.784723406494,False,False,False,,,,,
231,Long,2026-08-16 17:30:00-05:00,15066,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29875.25,29878.75,29870.75,29876.0,12.501003060288616,,,,,29835.5,1.2501003060288616,29834.249899693972,29836.750100306028,False,False,False,,,,,
231,Long,2026-08-16 17:35:00-05:00,15067,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29876.5,29877.5,29871.5,29875.75,12.036645698839427,,,,,29835.5,1.2036645698839428,29834.296335430117,29836.703664569883,False,False,False,,,,,
231,Long,2026-08-16 17:40:00-05:00,15068,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29876.25,29877.25,29873.25,29874.5,11.462599577493753,,,,,29835.5,1.1462599577493753,29834.35374004225,29836.64625995775,False,False,False,,,,,
232,Long,2026-08-16 19:15:00-05:00,15087,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29900.75,29901.0,29871.25,29874.75,12.287126974521842,75.0,,,,,,,,,,,,,,,
232,Long,2026-08-16 19:30:00-05:00,15090,OPPOSITE_BOS_INVALIDATION,LONG_WAIT_BOS,IDLE,29877.75,29880.5,29868.75,29873.0,11.78327914104391,,,,,,,,,,,,,,,,
233,Short,2026-08-16 20:05:00-05:00,15097,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29909.5,29915.5,29905.75,29908.75,12.165344629351653,75.0,,,,,,,,,,,,,,,
233,Short,2026-08-16 20:20:00-05:00,15100,OPPOSITE_BOS_INVALIDATION,SHORT_WAIT_BOS,IDLE,29902.75,29921.25,29901.5,29912.25,13.145503699229439,,,,,,,,,,,,,,,,
235,Long,2026-08-16 21:05:00-05:00,15109,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29871.5,29880.75,29867.5,29878.25,13.329740015811955,75.0,,,,,,,,,,,,,,,
235,Long,2026-08-16 21:50:00-05:00,15118,BOS_EXPIRED,LONG_WAIT_BOS,IDLE,29907.25,29913.5,29904.5,29906.75,11.416274311490415,,,,,,,,,,,,,,,,
236,Long,2026-08-16 22:35:00-05:00,15127,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29917.25,29922.25,29916.0,29921.75,9.65547424323552,75.0,,,,,,,,,,,,,,,
236,Long,2026-08-16 22:35:00-05:00,15127,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29917.25,29922.25,29916.0,29921.75,9.65547424323552,,True,29921.25,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29921.75; level=29921.25,,,,,,,,,,,,
236,Long,2026-08-16 22:40:00-05:00,15128,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29921.5,29929.5,29920.25,29923.75,9.626511797290126,,,,,29921.25,0.9626511797290127,29920.28734882027,29922.21265117973,True,False,False,,,,,
236,Long,2026-08-16 22:40:00-05:00,15128,RETEST_ACCEPTED,LONG_WAIT_RETEST,LONG_WAIT_CONFIRM,29921.5,29929.5,29920.25,29923.75,9.626511797290126,,,,,29921.25,0.9626511797290127,,,,,,,,,,
236,Long,2026-08-16 22:45:00-05:00,15129,CONFIRM_EVALUATION,LONG_WAIT_CONFIRM,LONG_WAIT_CONFIRM,29923.5,29927.5,29921.0,29925.25,9.403189526055117,,,29921.25,,,,,,,False,False,True,True,True,[],
236,Long,2026-08-16 22:45:00-05:00,15129,CONFIRM_ENTRY,LONG_WAIT_CONFIRM,IDLE,29923.5,29927.5,29921.0,29925.25,9.403189526055117,,,,,,,,,,,,,,,,14.104784289082676
237,Long,2026-08-17 00:30:00-05:00,15150,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29926.75,29940.75,29919.5,29939.5,9.258563935838236,90.0,,,,,,,,,,,,,,,
237,Long,2026-08-17 00:30:00-05:00,15150,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29926.75,29940.75,29919.5,29939.5,9.258563935838236,,True,29937.25,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29939.5; level=29937.25,,,,,,,,,,,,
237,Long,2026-08-17 00:35:00-05:00,15151,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29938.25,29940.75,29932.0,29940.75,9.22223794042122,,,,,29937.25,0.9222237940421221,29936.32777620596,29938.17222379404,True,False,False,,,,,
237,Long,2026-08-17 00:35:00-05:00,15151,RETEST_ACCEPTED,LONG_WAIT_RETEST,LONG_WAIT_CONFIRM,29938.25,29940.75,29932.0,29940.75,9.22223794042122,,,,,29937.25,0.9222237940421221,,,,,,,,,,
237,Long,2026-08-17 00:40:00-05:00,15152,CONFIRM_EVALUATION,LONG_WAIT_CONFIRM,LONG_WAIT_CONFIRM,29941.0,29945.25,29940.0,29945.25,8.938506658962561,,,29937.25,,,,,,,False,False,True,True,True,[],
237,Long,2026-08-17 00:40:00-05:00,15152,CONFIRM_ENTRY,LONG_WAIT_CONFIRM,IDLE,29941.0,29945.25,29940.0,29945.25,8.938506658962561,,,,,,,,,,,,,,,,13.407759988443843
238,Long,2026-08-17 10:00:00-05:00,15264,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29926.25,29959.25,29915.5,29951.25,33.37015959457729,85.0,,,,,,,,,,,,,,,
238,Long,2026-08-17 10:00:00-05:00,15264,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29926.25,29959.25,29915.5,29951.25,33.37015959457729,,True,29948.25,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29951.25; level=29948.25,,,,,,,,,,,,
238,Long,2026-08-17 10:05:00-05:00,15265,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29951.0,29969.75,29939.5,29941.5,33.147291052107484,,,,,29948.25,3.3147291052107484,29944.935270894788,29951.564729105212,True,True,False,,,,,
241,Long,2026-08-17 23:25:00-05:00,15413,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29566.0,29602.5,29561.5,29593.25,23.26239822155755,90.0,,,,,,,,,,,,,,,
241,Long,2026-08-17 23:25:00-05:00,15413,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29566.0,29602.5,29561.5,29593.25,23.26239822155755,,True,29592.0,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29593.25; level=29592.0,,,,,,,,,,,,
241,Long,2026-08-17 23:30:00-05:00,15414,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29594.5,29601.0,29585.25,29592.5,22.725798348589155,,,,,29592.0,2.2725798348589157,29589.72742016514,29594.27257983486,True,False,False,,,,,
241,Long,2026-08-17 23:30:00-05:00,15414,RETEST_ACCEPTED,LONG_WAIT_RETEST,LONG_WAIT_CONFIRM,29594.5,29601.0,29585.25,29592.5,22.725798348589155,,,,,29592.0,2.2725798348589157,,,,,,,,,,
241,Long,2026-08-17 23:35:00-05:00,15415,CONFIRM_EVALUATION,LONG_WAIT_CONFIRM,LONG_WAIT_CONFIRM,29593.25,29603.25,29573.25,29577.25,23.245384180832787,,,29592.0,,,,,,,True,False,False,False,False,"['bullish_candle=false', 'close_above_bos_level=false']",
242,Short,2026-08-18 05:30:00-05:00,15486,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29409.0,29427.0,29404.75,29419.75,24.051667499706785,75.0,,,,,,,,,,,,,,,
242,Short,2026-08-18 05:45:00-05:00,15489,OPPOSITE_BOS_INVALIDATION,SHORT_WAIT_BOS,IDLE,29410.0,29434.0,29403.25,29432.25,23.296469933256486,,,,,,,,,,,,,,,,
244,Long,2026-08-18 07:10:00-05:00,15506,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29428.25,29430.5,29408.5,29415.75,23.823719902337665,75.0,,,,,,,,,,,,,,,
244,Long,2026-08-18 07:25:00-05:00,15509,OPPOSITE_BOS_INVALIDATION,LONG_WAIT_BOS,IDLE,29411.5,29411.75,29393.75,29396.75,23.642296875158838,,,,,,,,,,,,,,,,
245,Short,2026-08-18 08:30:00-05:00,15522,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29372.5,29437.5,29313.5,29367.5,28.319085234837562,75.0,,,,,,,,,,,,,,,
245,Short,2026-08-18 08:35:00-05:00,15523,OPPOSITE_BOS_INVALIDATION,SHORT_WAIT_BOS,IDLE,29367.25,29424.0,29355.5,29416.5,31.189150575206305,,,,,,,,,,,,,,,,
247,Short,2026-08-18 09:50:00-05:00,15538,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29287.0,29302.25,29239.25,29240.75,46.94578576822791,100.0,,,,,,,,,,,,,,,
247,Short,2026-08-18 09:50:00-05:00,15538,BOS_ACCEPTED,SHORT_WAIT_BOS,SHORT_WAIT_RETEST,29287.0,29302.25,29239.25,29240.75,46.94578576822791,,True,29250.75,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29240.75; level=29250.75,,,,,,,,,,,,
247,Short,2026-08-18 09:55:00-05:00,15539,RETEST_EVALUATION,SHORT_WAIT_RETEST,SHORT_WAIT_RETEST,29240.0,29249.25,29218.5,29230.0,45.788943927640204,,,,,29250.75,4.57889439276402,29246.171105607234,29255.328894392766,True,False,False,,,,,
247,Short,2026-08-18 09:55:00-05:00,15539,RETEST_ACCEPTED,SHORT_WAIT_RETEST,SHORT_WAIT_CONFIRM,29240.0,29249.25,29218.5,29230.0,45.788943927640204,,,,,29250.75,4.57889439276402,,,,,,,,,,
