feature_a,feature_b,correlation
swing_low,m15_body_atr,-0.008992849861178185
core_b1_active,mtf_1m_15m_align,0.008882243279097203
m5_range_pos_8,mtf_1m_5m_align,0.008878493555564367
break_dist_atr,m15_range_pos_8,-0.008837466690933018
dist_swing_high_atr,mtf_1m_15m_align,0.008766003783215194
ext_30min_atr,mtf_1m_15m_align,0.008750737941473132
swing_low,m15_range_pos_12,0.008743917692315532
swing_high,m15_range_pos_12,0.00873187825932495
min_since_core_entry,m15_range_pos_8,0.008693528161105466
body_atr,close_loc,-0.008645247668417993
break_dist_atr,dow,0.008635804427263768
min_since_core_entry,m15_range_pos_4,0.008583068743333026
swing_low,m15_range_pos_8,0.008479825674475297
swing_high,m15_range_pos_8,0.008470033861019494
body_atr,mom_1,-0.008439337594735483
m15_range_pos_20,mtf_1m_15m_align,0.008419973852412858
swing_high,m15_body_atr,-0.008379609914035063
min_since_core_entry,m5_range_pos_12,0.0083604289203041
m15_range_pos_4,is_reversal,-0.008310837675781418
m15_mom_4,mtf_1m_15m_align,0.008245157990403084
mom_1,atr,-0.008223442563300907
mom_10,mtf_1m_15m_align,0.008218569651937176
dist_swing_high_atr,mtf_1m_5m_align,0.008133889086332951
mom_3,is_reversal,-0.008080635580898197
core_authorized,is_reversal,-0.008049721899215354
break_dist_atr,m15_range_pos_4,-0.007997903687684228
body_vs_avg,dow,0.007922227079809913
break_dist_atr,core_b1_active,-0.007916020808064852
mom_5,mtf_1m_5m_align,0.007803940841549027
atr_ratio,m15_mom_4,-0.007799566152916768
mom_3,mtf_1m_5m_align,0.007778203721979639
session_minute,is_reversal,0.007769456714916745
body_atr,dow,0.007714756481179365
min_since_core_entry,m5_range_pos_8,0.007695856318440579
mom_3,mtf_1m_15m_align,0.007675332739340649
m5_range_pos_12,mtf_1m_5m_align,0.00762703582891628
dist_swing_high_atr,min_since_core_entry,0.0074255460997092945
m15_range_pos_12,mtf_1m_15m_align,0.00741392439755158
m5_mom,is_reversal,-0.007237952546388845
mom_10,mtf_1m_5m_align,0.007230075525979074
swing_low,m15_range_pos_4,0.007226138782212461
body_vs_avg,m5_mom,-0.007225858852414241
swing_high,m15_range_pos_4,0.007217685626288266
mom_1,mtf_1m_5m_align,0.0072133489173626855
core_b1_active,session_minute,0.00718262911017055
close_loc,is_reversal,-0.007109049146982282
atr,m15_mom_4,-0.007073192406708816
range_atr,m5_mom,-0.007000114312842062
body_vs_avg,phase44_active,-0.006829743203669236
ext_30min_atr,min_since_p44,-0.006719524957827538
dist_swing_high_atr,session_minute,-0.006670982513685522
min_since_core_entry,m5_range_pos_4,0.006605890474877547
close_loc,countertrend_15m,-0.006568437193418133
close_loc,ext_60min_atr,0.006548863151429215
min_since_p44,m15_range_pos_12,0.006539411241878318
m5_range_pos_4,countertrend_15m,-0.00643409475686155
min_since_p44,m15_range_pos_20,0.0063391369359795495
m5_mom,mtf_1m_15m_align,0.0063005905806728015
m5_mom,session_minute,0.0061717133183396885
mom_1,mtf_1m_15m_align,0.0061657381078416415
min_since_p44,m15_range_pos_8,0.006091677862737795
swing_high,close_loc,0.006059079440877071
swing_low,close_loc,0.006055714194497298
m15_range_pos_4,mtf_1m_5m_align,0.005925009372051837
min_since_p44,m15_range_pos_4,0.005906742051645615
m5_range_pos_8,countertrend_15m,-0.00589514573076086
phase44_active,session_minute,0.005856730908459515
m5_range_pos_12,countertrend_15m,-0.005856544867940017
ext_30min_atr,min_since_core_entry,-0.0057961833555228446
ext_30min_atr,phase44_active,-0.005782720313798702
mom_1,min_since_prev_event,0.005778356942900551
dist_swing_high_atr,core_b1_active,0.005637124757550151
swing_low,mom_10,0.005610641115171865
swing_high,mom_10,0.005588349734975111
m5_mom,min_since_prev_event,0.005544131928561615
close_loc,m15_body_atr,-0.005464286806779267
dist_swing_low_atr,core_b1_active,-0.005371835461281554
close_loc,mtf_1m_5m_align,0.005365188892691994
core_authorized,countertrend_15m,0.005297124759648265
m15_range_pos_12,countertrend_15m,-0.005222235715595032
mom_3,session_minute,0.005119155630130501
mom_1,session_minute,0.005096050880407419
m15_body_atr,core_b1_active,0.005094345302343686
dist_swing_low_atr,mtf_1m_5m_align,-0.005085941244586921
m15_range_pos_8,mtf_1m_5m_align,0.005079886056294146
atr,mtf_1m_15m_align,-0.005043047794653812
mom_5,session_minute,0.004940836300074983
m15_range_pos_20,dow,-0.004877181979419828
dist_swing_high_atr,min_since_p44,0.004793007551939916
dist_swing_high_atr,dow,-0.004792743045205187
min_since_p44,m5_range_pos_12,0.004770301461348184
mom_1,is_reversal,-0.004749498109932141
m15_body_atr,min_since_prev_event,0.004748976389745222
dist_swing_low_atr,mtf_1m_15m_align,-0.004681854975764547
mom_3,min_since_prev_event,0.004602636684962999
core_b1_active,m5_range_pos_12,0.0046006713400358
body_vs_avg,session_minute,0.004527687829210612
swing_high,min_since_prev_event,-0.004465553257888284
swing_low,min_since_prev_event,-0.004430800348700918
ext_30min_atr,dow,0.004406244753970705
min_since_p44,m5_range_pos_8,0.004369833476581632
body_atr,m5_mom,-0.00436139238199167
countertrend_15m,min_since_prev_event,0.004315401666905187
ext_60min_atr,countertrend_15m,-0.004275451081311112
core_b1_active,m5_range_pos_8,0.004208003862276802
m15_range_pos_8,countertrend_15m,-0.004182280660125113
m15_range_pos_4,countertrend_15m,-0.004165236461676059
mom_10,min_since_core_entry,0.004164262205215053
core_b1_active,m5_range_pos_4,0.004147481961966563
mom_5,min_since_prev_event,0.004144656276063405
mom_10,session_minute,0.004125468050563956
close_loc,mtf_1m_15m_align,0.004124384109076641
m15_body_atr,core_authorized,0.004100475943824911
dist_swing_high_atr,min_since_prev_event,0.004081845526319272
m15_range_pos_8,dow,-0.004069203594460792
m15_range_pos_12,dow,-0.004061985748182297
m15_range_pos_12,mtf_1m_5m_align,0.004027259057340586
m15_range_pos_4,dow,-0.004004288708692795
m15_mom_4,min_since_prev_event,0.00399479051524734
swing_high,m15_mom_4,-0.003993370621297418
swing_low,m15_mom_4,-0.003988410829858174
dist_swing_low_atr,phase44_active,0.003976862660703286
core_b1_active,is_reversal,-0.0039486682026266965
atr_ratio,ext_30min_atr,-0.0038477087345009354
min_since_p44,m5_range_pos_4,0.003830664138502364
