level,event_type,regime_dimension,regime_value,N,mean_forward_atr,era1_mean,era2_mean,era3_mean
ONL,BREAK,htf_vol_regime,high_vol,1447,0.11963151558097765,0.0881735159984775,0.09329968156855155,0.19321406710876063
ONL,BREAK_FAILURE,htf_vol_regime,high_vol,348,0.12113981388208256,0.01614126443533603,-0.0067590207971279384,0.4333100403706037
ONL,APPROACH,htf_vol_regime,high_vol,654,-0.1871557998162718,-0.3607830589606595,-0.16541987587321694,-0.015210674176668021
SESSION_OPEN,APPROACH,htf_vol_regime,high_vol,1066,-0.03466784464007859,-0.03452975768199438,-0.10641631204646308,0.0326897027698782
ORL,TOUCH,htf_vol_regime,low_vol,131,-0.5699651382490172,-0.5344701832281955,-0.4119834986944259,-0.8870456385032276
ORL,SWEEP,htf_vol_regime,low_vol,185,-0.26303692721137706,-0.31809814102419126,-0.6989140425711112,0.3173758744069942
ORL,BREAK,htf_vol_regime,low_vol,115,-0.10526176944142256,-0.2927296456587418,-0.4748443022472614,1.0401711618147718
PRIOR_RTH_CLOSE,APPROACH,htf_vol_regime,high_vol,866,-0.04498940538393589,-0.049482067435731504,-0.045928333861346954,-0.03863643309248273
ONH,APPROACH,htf_vol_regime,high_vol,648,0.03517129366837281,0.17983165414439733,-0.27227999507634554,0.24575268073513135
SESSION_OPEN,BREAK_FAILURE,htf_vol_regime,high_vol,851,-0.2273687971930648,0.037096537023567695,-0.42098694238774353,-0.17247229142457624
ONL,BREAK_HOLD,htf_vol_regime,high_vol,736,0.08274435640548938,0.03637152161516669,0.14300589651021847,0.05426439032611301
ORH,BREAK_HOLD,htf_vol_regime,low_vol,86,0.0048004363476446274,0.026865099529786995,0.1437522425558853,-0.22227042365763713
SESSION_OPEN,TOUCH,above_prior_rth_close,False,3123,-0.008726248245141519,0.10939685713055278,-0.04653810699379773,-0.09119333330712685
SESSION_OPEN,SWEEP,above_prior_rth_close,False,6028,0.003108383776433386,0.039851446032835774,0.0006383333397193321,-0.03382146439693322
SESSION_OPEN,BREAK,above_prior_rth_close,False,3981,-0.06772787202859362,0.0032686367831754235,-0.19829729233109877,0.05213992483228832
SESSION_OPEN,BREAK_HOLD,above_prior_rth_close,False,1634,-0.040119429469032575,-0.044598080440598736,-0.05365917899754059,-0.016919397528812434
SESSION_OPEN,SWEEP,above_prior_rth_close,True,5992,0.043303148304407256,0.13074610784855506,-0.03352914461462782,0.0423576912891915
PDH,SWEEP,above_prior_rth_close,True,5059,0.028779665637089974,0.0968804265639206,0.0005059205342279327,-0.01538581954706305
PDH,BREAK,above_prior_rth_close,True,3544,-0.06766357796189663,0.16108957570533913,-0.2862281939332259,-0.0002610411962037893
PDH,BREAK_HOLD,above_prior_rth_close,True,1425,-0.002126759724442857,0.2303336864360704,-0.06649493596706549,-0.18723974639204957
PDH,APPROACH,above_prior_rth_close,True,1164,0.0429927168766349,0.06967276437656739,0.04551776420799303,0.011171910111417625
PDH,TOUCH,above_prior_rth_close,True,2670,0.06560015035413422,0.052238874083631,0.067987457798437,0.07788871635556127
SESSION_OPEN,TOUCH,above_prior_rth_close,True,2857,-0.0017296371271721734,0.1220109044764688,-0.05225940230885401,-0.07701898820546696
SESSION_OPEN,BREAK,above_prior_rth_close,True,4041,-0.09690412537573985,0.10684504615447775,-0.3005427108832616,-0.003108640248610743
SESSION_OPEN,BREAK_HOLD,above_prior_rth_close,True,1462,-0.0665421010385088,0.10437106338940572,-0.2512954152413914,-0.04420668833964811
SESSION_OPEN,APPROACH,above_prior_rth_close,True,1052,-0.11244100083362728,-0.1223447238042803,-0.06448237626784677,-0.15358675099658572
ONL,APPROACH,above_prior_rth_close,True,909,-0.07114620125691078,-0.033733138324735165,-0.23347636677551606,0.059531995812184185
ONL,TOUCH,above_prior_rth_close,True,2987,0.00951811099606903,0.12089807220865412,-0.0900262030326377,-0.024152363390333234
ONH,APPROACH,above_prior_rth_close,True,1238,0.02345005648268702,0.20561285438254226,-0.3758001468856988,0.2848735577338411
ONH,TOUCH,above_prior_rth_close,True,7643,0.050625426003312005,0.12755682732565454,0.02246081029080983,0.0004007600012650162
PDL,TOUCH,above_prior_rth_close,True,265,-0.022573137923959655,-0.06930953440888153,-0.2494286022721665,0.286127306677344
PDL,SWEEP,above_prior_rth_close,True,513,0.09022405534897508,-0.07619794040045667,0.004668858794285999,0.3772677734257505
PDL,BREAK,above_prior_rth_close,True,267,-0.05976550220582753,-0.08445770680081936,0.029989238615292964,-0.15231007713114067
ONL,BREAK,above_prior_rth_close,True,355,0.12617519335404515,0.021629319009690742,0.12575788347468264,0.272542530153857
PDL,BREAK_FAILURE,above_prior_rth_close,True,79,-0.37221480727982775,-0.21989527344982523,-0.47993298029793685,-0.41790308098411993
PDL,APPROACH,above_prior_rth_close,True,105,0.08654623168717714,0.7711432164464229,0.005935607720478699,-0.47085565334205065
ONL,BREAK_HOLD,above_prior_rth_close,True,199,0.014010328190257883,-0.15702470578385236,-0.03631464997635786,0.3114217146068379
ONH,SWEEP,above_prior_rth_close,True,2347,0.1190761022630025,0.06553859886001304,0.1782317413142789,0.11715099560777965
ORH,TOUCH,above_prior_rth_close,True,2179,0.09942984033548029,0.19481237148098066,0.14055773206109848,-0.06953375951067273
ORL,TOUCH,above_prior_rth_close,True,1587,0.01989981705055105,0.0008813633504460226,-0.013807134945692497,0.07908318593856778
ORH,APPROACH,above_prior_rth_close,True,1118,0.14345226682543832,0.313903875616872,0.16132398332042222,-0.0740503435869532
ONH,BREAK,above_prior_rth_close,True,1741,-0.04363564468419792,-0.044613149953858004,-0.08814216873342637,0.01652862077091811
ONH,BREAK_HOLD,above_prior_rth_close,True,938,0.0014476783717083034,-0.13773730868287531,0.1856660896638402,-0.05274776887713868
ORH,SWEEP,above_prior_rth_close,True,2511,0.12416847425076734,0.17765017905627664,0.18813830446800225,-0.01391211550621405
ORH,BREAK,above_prior_rth_close,True,1807,0.060664396944199735,0.1993595901320725,-0.009376052441620849,-0.010470186601152117
ORH,BREAK_HOLD,above_prior_rth_close,True,972,0.11881035057885066,0.18927674634730376,-0.0010093985957060703,0.18265721502953114
SESSION_OPEN,BREAK_FAILURE,above_prior_rth_close,True,725,-0.17650359943372634,-0.18597074922094997,-0.3114010658619844,0.041002641016944424
PDH,BREAK_FAILURE,above_prior_rth_close,True,619,0.02162013992621717,0.09583213517170117,-0.1420657355245085,0.14021690622253494
PRIOR_RTH_CLOSE,TOUCH,above_prior_rth_close,False,2518,0.04757487138617603,0.030035874126344446,0.1006401752231546,-0.0032613000554597804
PRIOR_RTH_CLOSE,SWEEP,above_prior_rth_close,False,4797,-0.025693692822836445,-0.14049122571490155,0.04222588797923116,0.007827660532287456
PRIOR_RTH_CLOSE,BREAK,above_prior_rth_close,False,2932,-0.0665904223953061,-0.04977511459593416,-0.08133506702774401,-0.06397251986977251
SESSION_OPEN,BREAK_FAILURE,above_prior_rth_close,False,740,-0.1990598095333288,0.03243710186313217,-0.2314612338368165,-0.43070128905250094
PRIOR_RTH_CLOSE,BREAK_HOLD,above_prior_rth_close,False,1162,-0.0005550858119174795,-0.08976270701838181,0.07890674134008653,0.0001458791237654546
PRIOR_RTH_CLOSE,APPROACH,above_prior_rth_close,False,997,0.031402293513609944,-0.05768879335532826,0.15274427532038087,-0.020655535318439666
PRIOR_RTH_CLOSE,BREAK,above_prior_rth_close,True,3353,-0.17417427732601365,0.07443742623629766,-0.4258222644057227,0.010430296702148355
ORL,APPROACH,above_prior_rth_close,True,780,0.0011717718359061239,-0.060539016525180525,0.08361088448599045,-0.012328706125332574
ORL,SWEEP,above_prior_rth_close,True,1432,0.08986024886586515,0.13812195377274017,0.07215233132216044,0.052980474781772965
ORL,BREAK,above_prior_rth_close,True,905,0.053639820646462576,0.10336811290434673,0.07835986406665874,-0.04295210274549561
ORL,BREAK_HOLD,above_prior_rth_close,True,469,0.12261843571700196,-0.03462612823763957,0.27566729397157813,0.15171156757183782
ORL,BREAK_FAILURE,above_prior_rth_close,True,235,-0.12125169399839218,-0.13451439277251953,-0.12253319746333509,-0.1059729077192219
PRIOR_RTH_CLOSE,TOUCH,above_prior_rth_close,True,2358,0.08743807957347303,0.24554287684395334,-0.029989863093873286,0.059585797910494606
PRIOR_RTH_CLOSE,SWEEP,above_prior_rth_close,True,4809,0.029729540990904826,0.03855919934616525,-0.023130910838230673,0.088752738129139
PRIOR_RTH_CLOSE,BREAK_HOLD,above_prior_rth_close,True,1162,-0.07391050650211974,-0.0962699513009617,-0.06035480559148062,-0.06675421553259467
SESSION_OPEN,APPROACH,above_prior_rth_close,False,1160,0.06169291461977708,0.08825681242905561,-0.01505606444577702,0.1347444549903593
PRIOR_RTH_CLOSE,APPROACH,above_prior_rth_close,True,802,0.030932000732440727,-0.090087258741016,0.024200633213231997,0.18011885270879124
ORH,BREAK_FAILURE,above_prior_rth_close,True,371,0.24885154886086688,0.09130840437865764,0.7568699776031543,-0.11409130530303953
PDH,TOUCH,above_prior_rth_close,False,309,-0.0949379087652219,-0.26960502075919207,-0.16985076353555023,0.2747957957963171
PDH,SWEEP,above_prior_rth_close,False,547,0.032962925785644845,0.018333309734491147,-0.11972445065008924,0.2272039331958656
PDH,BREAK,above_prior_rth_close,False,360,0.03414079589956544,-0.15289065447772368,0.07291569357727705,0.29662231512521936
PDH,BREAK_HOLD,above_prior_rth_close,False,179,0.11194449740315478,0.16060327077000186,0.012435050235322332,0.14346317588344942
PDL,BREAK,above_prior_rth_close,False,2501,-0.012773936996963052,0.11486770239911431,-0.09650304292031493,-0.02280841178914275
ONL,TOUCH,above_prior_rth_close,False,6648,0.03255912719587345,0.042216943525856324,0.05182042549716619,-0.003354666003917474
PDL,BREAK_HOLD,above_prior_rth_close,False,1120,-0.037537079070848724,0.15599973152873503,-0.11647449274789608,-0.1439153433623366
PDL,SWEEP,above_prior_rth_close,False,4025,0.017138735791660784,0.0494887434645288,0.014827500407273712,-0.012129593952199405
PRIOR_RTH_CLOSE,BREAK_FAILURE,above_prior_rth_close,True,549,0.06554884563789085,0.10370946581651702,-0.021451290642140665,0.15234069655054386
PDL,TOUCH,above_prior_rth_close,False,2067,0.08498889347968917,0.1101073277067159,0.05403265177708533,0.10274534262374223
ONH,BREAK_FAILURE,above_prior_rth_close,True,352,0.23412387088595663,0.3703504396520374,0.10993156170642925,0.21290216275668306
ONH,TOUCH,above_prior_rth_close,False,2470,0.1591840678354737,0.19794785627932096,0.08579840748988007,0.20145863573024553
ONL,APPROACH,above_prior_rth_close,False,1065,0.0019792539121461293,-0.06859427427243028,-0.009657236646417398,0.10271464160183426
ONH,APPROACH,above_prior_rth_close,False,792,0.0828993609900394,0.09163426482874497,0.004888015836655251,0.16473592472672197
ONH,BREAK,above_prior_rth_close,False,244,-0.10686999911392475,0.03504012307248337,-0.13800432050982323,-0.33729178224651346
ORL,APPROACH,above_prior_rth_close,False,933,-0.027060665721529268,-0.019365279745891764,0.0004766383124949559,-0.07273484578406575
ORL,TOUCH,above_prior_rth_close,False,1864,0.033894783877718215,0.04547391286399998,0.06821470615424594,-0.024644620973552776
ORH,APPROACH,above_prior_rth_close,False,719,-0.040826111738894146,-0.06051373741609922,-0.11072585023557464,0.06734228376816465
ORH,TOUCH,above_prior_rth_close,False,1369,0.010335275849957092,-0.06286945832806072,0.019135873030414228,0.08459340969964609
ORH,SWEEP,above_prior_rth_close,False,1353,0.03362103804902936,0.10567264050730084,0.0258362428329264,-0.031703093518193594
ONL,BREAK,above_prior_rth_close,False,1329,0.07572855080428902,0.03871446756997901,0.020921225867726524,0.2079358277599951
ONL,BREAK_HOLD,above_prior_rth_close,False,722,0.024609655843166774,-0.04367916600154468,-0.02133521401866907,0.18135324740540756
ORH,BREAK,above_prior_rth_close,False,854,-0.13218323669241722,-0.06503149555953873,-0.0443256594589975,-0.3123485800201864
ORH,BREAK_HOLD,above_prior_rth_close,False,424,-0.06207556499658908,-0.13558411228414127,-0.07383772979676594,0.03669739477099139
