time_bucket,level,event_type,N,mean_forward_atr,replicated
RTH_MID_MORNING,ONH,SWEEP,1060,0.048874362780648196,False
RTH_MID_MORNING,PDH,BREAK_FAILURE,96,0.04878686633898087,False
RTH_MID_MORNING,PRIOR_RTH_CLOSE,TOUCH,412,0.03990540793302132,False
RTH_MID_MORNING,PRIOR_RTH_CLOSE,SWEEP,984,0.03850413299198066,False
RTH_MID_MORNING,ORL,BREAK,1216,0.03821025921538864,True
RTH_MID_MORNING,ORH,BREAK_HOLD,866,0.028712170687506988,False
RTH_MID_MORNING,ONH,BREAK_FAILURE,196,0.013852517898062888,False
RTH_MID_MORNING,PRIOR_RTH_CLOSE,BREAK_HOLD,164,0.009045251914764277,False
RTH_MID_MORNING,ORH,BREAK,1386,0.00543925610313603,False
RTH_MID_MORNING,PDL,SWEEP,662,-0.004783528252903566,False
RTH_MID_MORNING,ORL,BREAK_FAILURE,334,-0.005479110424452109,False
RTH_MID_MORNING,ORH,SWEEP,2008,-0.0116516028929184,False
RTH_MID_MORNING,SESSION_OPEN,SWEEP,982,-0.016823744352818335,False
RTH_MID_MORNING,PDH,BREAK,482,-0.021945656900689496,False
RTH_MID_MORNING,PDL,BREAK_HOLD,158,-0.022473476271467424,False
RTH_MID_MORNING,PDH,SWEEP,682,-0.027782494526638668,False
RTH_MID_MORNING,ONL,SWEEP,998,-0.0408474140599297,False
RTH_MID_MORNING,ONL,BREAK,558,-0.049189061684442564,False
RTH_MID_MORNING,ORL,APPROACH,360,-0.055792093615679175,False
RTH_MID_MORNING,PRIOR_RTH_CLOSE,BREAK,598,-0.06540789481380216,False
RTH_MID_MORNING,ORL,TOUCH,770,-0.0751857771490229,False
RTH_MID_MORNING,ONL,TOUCH,390,-0.0761960625314165,False
RTH_MID_MORNING,ORL,SWEEP,1866,-0.07859886623011977,False
RTH_MID_MORNING,PDL,BREAK,392,-0.09802666301372717,False
RTH_MID_MORNING,PDH,TOUCH,308,-0.11046844617251836,False
RTH_MID_MORNING,ORH,BREAK_FAILURE,350,-0.11072208735475861,False
RTH_MID_MORNING,ONH,BREAK,738,-0.11387690282300589,False
RTH_MID_MORNING,PDH,APPROACH,98,-0.12339112895412283,False
RTH_MID_MORNING,PDL,APPROACH,132,-0.12747830860729223,False
RTH_MID_MORNING,ONH,BREAK_HOLD,354,-0.14687707758958563,False
RTH_MID_MORNING,ONL,BREAK_HOLD,274,-0.16751843937839112,False
RTH_MID_MORNING,PRIOR_RTH_CLOSE,APPROACH,64,-0.21402250442683063,False
RTH_MID_MORNING,SESSION_OPEN,APPROACH,28,-0.3016853230547474,False
RTH_MID_MORNING,SESSION_OPEN,BREAK,578,-0.41203651565500365,False
RTH_MID_MORNING,SESSION_OPEN,BREAK_HOLD,148,-0.4166517465144247,False
RTH_MID_MORNING,ONL,APPROACH,44,-0.44004830583291443,False
RTH_MID_MORNING,ONH,APPROACH,32,-1.5149482282331548,False
RTH_OPEN,PDH,BREAK_FAILURE,80,0.5377144515461868,False
RTH_OPEN,ONH,BREAK_FAILURE,252,0.3751456854808939,False
RTH_OPEN,ONH,TOUCH,666,0.3363148926514524,True
RTH_OPEN,PDL,TOUCH,332,0.33411007987508884,False
RTH_OPEN,PDL,APPROACH,180,0.32737672756115616,False
RTH_OPEN,ORH,BREAK_FAILURE,440,0.20190499451262198,False
RTH_OPEN,ONH,BREAK,1188,0.19969425473565297,True
RTH_OPEN,ONH,SWEEP,1790,0.19365578368135467,True
RTH_OPEN,ORH,SWEEP,2306,0.1658988611422155,True
RTH_OPEN,ORL,BREAK_HOLD,946,0.16106563977761074,False
RTH_OPEN,PDH,BREAK,484,0.14594795706141322,False
RTH_OPEN,PDL,BREAK,420,0.14570227868966637,False
RTH_OPEN,ONH,APPROACH,66,0.1204304138157912,False
