level,event_type,direction,time_bucket,displacement_quantile,horizon,N,sample_tier,mean_forward_atr,median_forward_atr,positive_return_rate,mfe_atr,mae_atr,effect_size,standard_error,ci95_low,ci95_high,raw_p_value,era1_avg_atr,era2_avg_atr,era3_avg_atr,same_sign_across_eras,replicated,fdr_q_value,fdr_survivor_5pct
PDH,BREAK_FAILURE,continuation,OVERNIGHT,Q2,1,93,INSUFFICIENT,-0.001559642129949783,0.0413349109100445,0.5161290322580645,0.40528387562609614,0.4465289120905642,-0.001559642129949783,0.06136164510779817,-0.12222182819029699,0.12022781651298885,1.0,0.05420418211439772,0.03541967646850873,-0.1122268713370103,False,False,1.0,False
PDH,SWEEP,continuation,OVERNIGHT,Q3,1,529,ANALYZABLE,0.0614062565779627,0.0332862873389624,0.5122873345935728,0.5897043639679033,0.4750371069149676,0.0614062565779627,0.029604224489913327,0.0076700889193555355,0.11726170695105607,0.03805705848705377,0.08031091981438508,0.04976616356936193,0.05232788646436468,True,True,1.0,False
PDH,BREAK_HOLD,continuation,OVERNIGHT,Q2,1,205,WEAK_SAMPLE,0.007148221664364407,0.0363297131826837,0.5121951219512195,0.4483430482483039,0.4608011429856449,0.007148221664364407,0.042010048263586966,-0.08230775689826406,0.08050226545037241,0.864888204755535,-0.07842178534833784,0.018310927041302532,0.1091486335229511,False,False,1.0,False
ONL,BREAK_HOLD,continuation,OVERNIGHT,Q4,1,55,INSUFFICIENT,0.020214406179720028,0.0,0.4,0.5647013550213011,0.627976889334183,0.020214406179720028,0.12020844938456476,-0.20504055413236674,0.2534562122769756,0.8664564047000124,-0.1521600184150516,0.32865821638967546,-0.05164591372027632,False,False,1.0,False
ONH,APPROACH,continuation,OVERNIGHT,Q4,1,431,ANALYZABLE,0.045730120499828254,-0.0452433784044322,0.46403712296983757,0.6893292913720763,0.5982971964558406,0.045730120499828254,0.04202041346545959,-0.03192053738626516,0.1301751980755468,0.2764699948137046,0.23505799503594071,-0.05543462905507491,-0.0005717985036794575,False,False,1.0,False
ONH,TOUCH,continuation,OVERNIGHT,Q4,1,1245,ANALYZABLE,-0.008033266602287517,-0.0616563915898836,0.4642570281124498,0.6824582340841966,0.6454626759768611,-0.008033266602287517,0.025266581799090047,-0.05368206132717566,0.039973611222669604,1.0,-0.011856585371726788,-0.043222909207411994,0.04840406898192571,False,False,1.0,False
PDH,TOUCH,continuation,OVERNIGHT,Q1,1,330,ANALYZABLE,0.012001750951881067,0.0,0.4818181818181818,0.47803616506671937,0.4540920313404761,0.012001750951881067,0.04063357670455242,-0.06950446619484708,0.09659401070737558,0.767714793312152,0.09530318003459111,-0.04304609308549785,-0.021282716752362367,False,False,1.0,False
ONH,TOUCH,continuation,OVERNIGHT,Q3,1,1395,ANALYZABLE,0.030225075285829645,0.0,0.48960573476702507,0.6196689109894679,0.5527413728450163,0.030225075285829645,0.020641132858844047,-0.008438775986278584,0.07265586521474308,0.1431084983022509,-0.014055443560650069,0.044306398082812136,0.06212475110486398,False,False,1.0,False
ONH,BREAK,continuation,OVERNIGHT,Q1,1,60,INSUFFICIENT,0.015369715874091645,0.0,0.4666666666666667,0.5288336928115752,0.452129717377819,0.015369715874091645,0.11817847146517144,-0.19817303260687177,0.2589401552114173,0.8965228135854544,-0.1412888165328602,0.4541929655003173,-0.11792455583688785,False,False,1.0,False
ONH,BREAK_HOLD,continuation,OVERNIGHT,Q3,1,45,INSUFFICIENT,-0.0022744741778452267,-0.0394484204295057,0.4444444444444444,0.4969756778438205,0.5180351407828346,-0.0022744741778452267,0.09584583386610221,-0.17392366934152723,0.1844352602461861,1.0,0.002102226575334891,0.16012448841787438,-0.10199641932905988,False,False,1.0,False
PDH,SWEEP,continuation,PREMARKET,Q2,1,419,ANALYZABLE,-0.07717467326819691,-0.043423696357589,0.4701670644391408,0.6035779379004258,0.7187450596498309,-0.07717467326819691,0.04067862531532522,-0.1584215547515895,0.006299119568107859,1.0,-0.10303931155921124,0.008233441083598463,-0.12078741713924473,False,False,1.0,False
PDH,BREAK,continuation,PREMARKET,Q2,1,237,WEAK_SAMPLE,0.009034216015062813,-0.0363195791831026,0.47257383966244726,0.5895747772571774,0.6168238745999377,0.009034216015062813,0.05513408685240272,-0.09539751009006876,0.11891519008187432,0.8698421486260299,0.010706958969908191,0.026073115056980803,-0.012086078854414558,False,False,1.0,False
