level,event_type,direction,horizon,N,full_mean_atr,era1_mean_atr,era2_mean_atr,era3_mean_atr,same_sign_across_eras,replicated,failure_reasons
ONL,BREAK_HOLD,reversal,3,921,0.013374193718554285,0.07232856528339227,0.029492552178415215,-0.08728773794838168,False,False,not_same_sign
ONH,SWEEP,reversal,3,2639,-0.0005196864742945019,-0.009086258864850677,0.01726078561115553,-0.009374404368542155,False,False,not_same_sign
ORH,TOUCH,reversal,3,3548,-0.012464765311879433,-0.04547759287748505,0.015535607832385851,-0.005072351095905617,False,False,not_same_sign
ORL,TOUCH,reversal,3,3451,0.005559340046215899,-0.04345535644763336,0.035423078333256586,0.026068136271575785,False,False,not_same_sign
ORH,APPROACH,reversal,3,1837,0.012288969857505558,-0.03984840356759941,0.03538918167031318,0.04491095371499488,False,False,not_same_sign
ONH,BREAK,reversal,3,1985,0.10561507321569115,0.04371790396436713,0.21288109433874042,0.04259896678409004,True,False,single_era_dominance
ONH,BREAK_HOLD,reversal,3,1080,0.03723584953841664,-0.009811540178008135,0.10999152589489003,0.011123470942694306,False,False,not_same_sign
ORH,SWEEP,reversal,3,3864,-0.03178567668605951,-0.04832980565398349,-0.02596679491300938,-0.019825809198601687,True,False,insufficient_positive_eras
ORH,BREAK,reversal,3,2661,0.03364959979914648,-0.037330926566672216,0.0975834958142346,0.03285139919102755,False,False,not_same_sign
ORH,BREAK_HOLD,reversal,3,1396,-0.011274508960322093,-0.045973984460752924,0.040503965083201164,-0.03458073548420628,False,False,not_same_sign
SESSION_OPEN,BREAK_FAILURE,reversal,3,1465,0.14246123260390434,0.045270803476350686,0.24872446052921163,0.075165075923255,True,False,single_era_dominance
PDH,BREAK_FAILURE,reversal,3,756,-0.05778256205278068,-0.0149440316318341,-0.14146219155064282,0.022359846770443306,False,False,not_same_sign
PRIOR_RTH_CLOSE,TOUCH,reversal,3,4876,-0.016055763346739842,-0.05973977792708194,0.03299558096893309,-0.03049288933419538,False,False,not_same_sign
PRIOR_RTH_CLOSE,SWEEP,reversal,3,9606,-0.0007936139171930113,0.0029045100576541466,0.008668720427941076,-0.017083794720174912,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK,reversal,3,6285,0.0914569583174481,-0.0787755714666743,0.265629827188637,-0.00638755767512132,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK_HOLD,reversal,3,2324,-0.012032846473352246,-0.07017702028764236,0.016817844237872807,0.016595689581923374,False,False,not_same_sign
PRIOR_RTH_CLOSE,APPROACH,reversal,3,1799,0.05965845570448912,0.0464727723637874,0.07102127426746295,0.06069908144051924,True,True,
ORL,APPROACH,reversal,3,1713,0.013790176841132538,0.0065371961577000955,0.023315658795115678,0.010723144568678596,True,False,effect_too_small
ORL,SWEEP,reversal,3,3528,0.008437766229372513,-0.06206455237411726,0.06001402228358531,0.020837659402444395,False,False,not_same_sign
ORL,BREAK,reversal,3,2308,0.037614633759862105,-0.07726268851897888,0.11972144482700027,0.055170563940647066,False,False,not_same_sign
ORL,BREAK_HOLD,reversal,3,1210,-0.011042386083415217,-0.030652157579939502,0.021876623107369625,-0.028144146403325437,False,False,not_same_sign
