gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant,family,bars_to_plus_1.5r,bars_to_plus_2r,exit_i,exit_price,hold_bars,mfe_capture,realized_parts,initial_risk_points,initial_stop,initial_target
1.0,0.9994735692074604,0.0005264307925395347,0.013433061602732953,0.005082780065898955,,,,,,,STOP,2025-05-15 13:16:00-05:00,0,5094,6,TIME_60,Time_Exit,,,2680179.0,20039.30092602001,1.0,74.44319318810763,1.0,1377.1990739799912,20039.30092602001,19915.1109721541
2.5,2.4995367003372286,0.0004632996627712152,0.007508649706981763,0.011183095308270712,,,,,,,TARGET,2025-05-15 15:01:00-05:00,0,5095,6,TIME_60,Time_Exit,,,2680284.0,19997.72833808872,1.0,332.94934476373646,1.0,1564.8619203895614,19868.63807961044,19997.72833808872
3.0,2.999531029854642,0.00046897014535815626,0.0012937107458156035,0.004689701453581563,,,,,,,TARGET,2025-05-21 10:23:00-05:00,0,5103,6,TIME_60,Time_Exit,,,2685526.0,20108.880859999805,1.0,2318.9109387111785,1.0,1545.9406258074523,19974.059374192548,20108.880859999805
1.0,0.9993714100511354,0.0006285899488646191,0.009537226810359737,0.050720706218731336,,,,,,,STOP,2025-05-21 12:31:00-05:00,0,5104,6,TIME_60,Time_Exit,,,2685654.0,20027.874892253654,1.0,104.85228252239507,1.0,1153.3751077463457,20027.874892253654,19852.258629032985
3.0,2.999517981864042,0.0004820181359579566,0.0028256235556156075,0.0024931972549549477,,,,,,,TARGET,2025-05-22 11:03:00-05:00,0,5106,6,TIME_60,Time_Exit,,,2686946.0,19941.518721715645,1.0,1061.7125533363562,1.0,1504.0927838931711,19773.15721610683,19941.518721715645
3.0,2.999515393236164,0.0004846067638361365,0.0015039520256983547,0.005848702322160268,,,,,,,TARGET,2025-05-22 12:46:00-05:00,0,5107,6,TIME_60,Time_Exit,,,2687049.0,19941.066013399883,1.0,1994.7444790381267,1.0,1496.0583592785952,19781.191640721405,19941.066013399883
1.0,0.9994737217703544,0.0005262782296455518,0.004718356541649775,0.0029036040256306306,,,,,,,STOP,2025-05-28 14:51:00-05:00,0,5111,6,TIME_60,Time_Exit,,,2692454.0,20018.151689524024,1.0,211.93820161168864,1.0,1377.5983104759762,20018.151689524024,19910.826433064503
3.0,2.999515592517795,0.0004844074822051455,0.00033407412565872107,0.0038418524450752924,,,,,,,TARGET,2025-06-02 13:52:00-05:00,0,5117,6,TIME_60,Time_Exit,,,2696535.0,20144.771479641167,1.0,8980.042959282335,1.0,1496.6738265470558,20017.076173452944,20144.771479641167
3.0,2.999514394701276,0.00048560529872394343,0.001004700618049538,0.002846651751140358,,,,,,,TARGET,2025-06-03 10:19:00-05:00,0,5118,6,TIME_60,Time_Exit,,,2697702.0,20287.696184721193,1.0,2985.9641231474598,1.0,1492.9820615737299,20180.76793842627,20287.696184721193
2.5,2.4995189776497764,0.00048102235022352277,0.002985655966904624,0.0011610884315740205,,,,,,,TARGET,2025-06-04 12:01:00-05:00,0,5122,6,TIME_60,Time_Exit,,,2699184.0,20348.344682173996,1.0,837.3369295431157,1.0,1507.2064731776081,20252.293526822392,20348.344682173996
