fold,marker_bar_timestamp,signal_type,direction,score,threshold,entry_i,entry_price,stop,target,realized_R,MFE_R,MAE_R,net_R
5,2024-12-13 09:30:00-06:00,MRL,Long,0.988560541029694,0.987814035230072,163375,20770.5,20743.543418249537,20837.891454376157,-1.0,1.1963683043547315,2.170156459062071,-1.026895101415726
5,2024-12-18 13:00:00-06:00,MRL,Long,0.9986280364482831,0.987814035230072,163665,20856.25,20825.10404890952,20934.114877726195,-1.0,1.4367838654212837,1.5892916500190735,-1.0232775039649256
5,2024-01-02 14:45:00-06:00,MRS,Short,0.9972326522975745,0.9901664002505329,140814,16507.75,16532.9921922124,16444.644519469,-0.415970210180145,0.27731347345343,0.6140512626468807,-0.4446919627878212
5,2024-01-03 13:15:00-06:00,MRS,Short,0.9935595588227267,0.9901664002505329,140900,16404.75,16430.408017990943,16340.604955022645,2.094861731680725,2.465116363326621,0.41897234633614505,2.066605457160382
5,2024-01-31 13:30:00-06:00,MRS,Short,0.9986361654248005,0.9901664002505329,142725,17244.75,17276.282361423993,17165.91909644002,2.5,2.7273567889072097,0.8245497268789238,2.4770077480004926
5,2024-02-21 14:30:00-06:00,MRS,Short,0.9906467300892496,0.9901664002505329,144093,17280.25,17311.56112223517,17201.972194412076,-1.0,0.2794534138470321,1.5649391175433798,-1.0231547114330406
5,2024-03-05 14:45:00-06:00,MRS,Short,0.9918676791586855,0.9901664002505329,144922,17718.5,17745.753731273173,17650.365671817064,-1.0,0.09173055883400147,1.504381164877624,-1.026601862061862
5,2024-03-20 13:00:00-05:00,MRS,Short,0.9918628374793963,0.9901664002505329,145927,17890.0,17915.617858454727,17825.955353863188,-1.0,2.4787395914543002,2.068869265308314,-1.0283005701386496
5,2024-04-09 14:15:00-05:00,MRS,Short,0.9940199427450436,0.9901664002505329,147128,17868.5,17897.805077418732,17795.23730645317,-1.0,1.3222964555360797,1.2625798414150955,-1.0247397401358362
5,2024-04-18 09:30:00-05:00,MRS,Short,0.9940458030248066,0.9901664002505329,147753,17243.75,17270.788221972027,17176.15444506993,-1.0,0.6287395679193285,1.0170787128106784,-1.0268138933377375
5,2024-04-25 15:00:00-05:00,MRS,Short,0.9963616981163413,0.9901664002505329,148235,17323.75,17370.313137480145,17207.342156299637,-0.7087151293031196,0.5422744549970839,0.9449535057374928,-0.7242853859317488
5,2024-05-01 13:30:00-05:00,MRS,Short,0.9957647735181888,0.9901664002505329,148597,17262.0,17303.915672922027,17157.210817694933,-1.0,1.8787721754221762,1.705805848161087,-1.0172966327261088
5,2024-05-02 15:30:00-05:00,MRS,Short,0.9903005902476043,0.9901664002505329,148697,17288.25,17321.907108446874,17204.107228882818,-1.0,0.7502129911087558,1.7901121867050511,-1.0215407690516365
5,2024-06-12 15:15:00-05:00,MRS,Short,0.991404291479008,0.9901664002505329,151348,19104.25,19142.953797124217,19007.490507189454,-1.0,0.12918629104923826,1.2466477086251493,-1.0187320122021404
5,2024-07-23 10:00:00-05:00,MRS,Short,0.9923134548968825,0.9901664002505329,153948,19315.5,19347.16825359026,19236.329366024358,-1.0,0.06315472984008451,1.0025813362113416,-1.0228935895670301
5,2024-08-21 09:30:00-05:00,MRS,Short,0.9958010211880642,0.9901664002505329,155878,19228.75,19255.025665403897,19163.06083649026,2.5,6.174914983349566,0.5518414006691446,2.472407929966543
5,2024-09-02 09:30:00-05:00,MRS,Short,0.992304971983492,0.9901664002505329,156614,18921.75,18937.160258684333,18883.22435328917,0.6651413327941963,0.8435938854950782,0.7138102108035277,0.6180947507185114
5,2024-09-11 10:30:00-05:00,MRS,Short,0.9908712204411675,0.9901664002505329,157246,18057.5,18104.119021999413,17940.95244500146,-1.0,1.539071325882828,1.9948938440014354,-1.0155515917946354
5,2024-12-19 10:15:00-06:00,MRS,Short,0.9903903279504325,0.9901664002505329,163746,20354.0,20405.855580665473,20224.361048336315,1.518640790236729,1.566851608974403,0.5254979242406459,1.5046596528028031
6,2025-01-30 14:30:00-06:00,MRL,Long,0.9943070748675372,0.9877704498318876,166278,20295.25,20254.286465092693,20397.65883726827,2.5,2.7890659401959046,0.47603313640105155,2.4823013321081655
6,2025-04-02 15:15:00-05:00,MRL,Long,0.9998031224362663,0.9877704498318876,170313,17936.75,17838.66932919564,18181.951677010897,-1.0,0.5148822860391359,3.2167398266405423,-1.007391874403532
6,2025-05-07 09:45:00-05:00,MRL,Long,0.9934111840584444,0.9877704498318876,172499,18387.5,18352.5981170614,18474.754707346496,-1.0,0.1790734331152073,1.547194462115391,-1.0207725182413632
6,2025-05-16 15:45:00-05:00,MRL,Long,0.9892664963489253,0.9877704498318876,173167,19944.75,19918.264033399108,20010.96491650223,-1.0,0.0,4.3985557240745665,-1.0273729862656993
6,2025-05-21 12:15:00-05:00,MRL,Long,0.9987064803742862,0.9877704498318876,173429,19748.0,19704.095934194833,19857.760164512918,-1.0,2.835728256979514,1.002185086804005,-1.016513276998475
6,2025-06-18 13:45:00-05:00,MRL,Long,0.99105425290127,0.9877704498318876,175259,20237.5,20197.509955575744,20337.475111060638,2.1692899132511196,2.3943459273059906,0.8814693883815788,2.151160401007811
6,2025-07-30 13:45:00-05:00,MRL,Long,0.9979704001190289,0.9877704498318876,177972,21732.75,21703.797604109026,21805.130989727433,-1.0,1.9083049364223859,1.9428443922852343,-1.0250411055005648
6,2025-09-17 13:00:00-05:00,MRL,Long,0.9993982654668838,0.9877704498318876,181173,22404.0,22375.093661116938,22476.265847207655,-1.0,4.185933074731333,1.0897263789589833,-1.025081003960167
6,2025-09-17 13:30:00-05:00,MRL,Long,0.9898366677969545,0.9877704498318876,181175,22400.25,22359.074381269198,22503.189046827007,-1.0,1.8518240247585644,1.8578955789381009,-1.0176075071206556
6,2025-10-10 09:45:00-05:00,MRL,Long,0.9980818101396567,0.9877704498318876,182724,23271.75,23237.871079817673,23356.44730045582,-1.0,0.044275319045806005,6.309232964027356,-1.021399737538807
6,2025-10-14 14:30:00-05:00,MRL,Long,0.9915841855017167,0.9877704498318876,182927,22794.75,22746.299484041054,22915.876289897365,0.0206396150837144,1.4912121897983652,0.6553077789079321,0.005675894148021627
6,2025-10-15 12:00:00-05:00,MRL,Long,0.9930649581534556,0.9877704498318876,183009,22780.25,22733.625490240047,22896.811274399883,2.5,2.9490926705271385,0.8525558811160273,2.4844502386463114
6,2025-10-29 13:30:00-05:00,MRL,Long,0.9984910202062101,0.9877704498318876,183935,24147.25,24110.46862149066,24239.20344627335,2.5,4.295651941372488,0.24468903463514172,2.480288938876613
6,2025-10-31 10:45:00-05:00,MRL,Long,0.9880140906281507,0.9877704498318876,184108,24129.5,24095.117628739292,24215.455928151772,-1.0,0.03635584033811061,1.9923000505284612,-1.021086387396105
6,2025-11-10 09:45:00-06:00,MRL,Long,0.9948137353036115,0.9877704498318876,184656,23601.25,23568.59366224808,23682.8908443798,-1.0,0.4210515001545686,1.6229621460503372,-1.0222008972808772
6,2025-01-13 09:30:00-06:00,MRS,Short,0.9951018583456429,0.9913096984820868,165078,19607.5,19652.38881850622,19495.27795373445,2.2165876338717467,2.4783454700324805,0.5625008819624282,2.2004366184490634
6,2025-01-29 13:30:00-06:00,MRS,Short,0.9960514941887493,0.9913096984820868,166182,20303.25,20349.099912852183,20188.62521786954,-1.0,1.9193057200283774,1.0087260176285506,-1.0158124618979614
6,2025-04-01 09:30:00-05:00,MRS,Short,0.9918057688343722,0.9913096984820868,170198,17988.0,18034.081098129507,17872.797254676236,-1.0,0.4014661271310824,1.6492662519979602,-1.0157331320091905
6,2025-04-02 15:00:00-05:00,MRS,Short,0.9913801826614095,0.9913096984820868,170312,18492.5,18559.22629932777,18325.684251680574,-1.0,8.662251703196796,1.442459734312615,-1.0108652811156018
6,2025-04-09 12:15:00-05:00,MRS,Short,0.9974301619322397,0.9913096984820868,170761,16944.5,17129.900836917353,16480.997907706616,-1.0,0.19147702130290248,2.692814165788002,-1.0039104462097073
6,2025-04-16 14:45:00-05:00,MRS,Short,0.9959234099862202,0.9913096984820868,171231,16931.25,16998.335368101383,16763.536579746542,-0.16769677678444658,0.31303398333096694,0.8086711236049979,-0.17850390239944416
6,2025-05-28 15:30:00-05:00,MRS,Short,0.9917828371592948,0.9913096984820868,173886,20045.75,20083.05385548821,19952.490361279473,-0.3618928881028552,0.3551911679528023,0.7371892165058161,-0.381327876538008
6,2025-07-30 15:00:00-05:00,MRS,Short,0.9996065232001209,0.9913096984820868,177977,21987.25,22033.55339302922,21871.491517426948,0.118781792006672,0.6263039942169978,0.4481313062069898,0.10312419215124655
