dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
target_distance,80pt+,843,365,478,43.29774614472123,-0.003815661310754367,-3.2166024849659314,0.9923027082752736,38.1786511132088,2.0,-1.0,7,10
displacement,<0.75x,208,89,119,42.78846153846154,-0.06166943945800512,-12.827243407265065,0.8803189964832523,31.175089117207335,2.0,-1.0,5,9
displacement,0.75-1.24x,375,151,223,40.266666666666666,-0.03192422632501784,-11.97158487188169,0.9376883266918971,41.57748536377541,2.0,-1.0,8,11
displacement,1.25-1.74x,804,332,472,41.29353233830846,0.020068260590034772,16.134881514387956,1.0397390635757493,36.9725122844913,2.0,-1.0,9,18
displacement,1.75x+,2763,1157,1602,41.8747737965979,0.020594417066899757,56.90237435584403,1.039516572123356,47.25854167599792,2.0,-1.0,8,16
liquidity_context,Liquidity sweep,458,194,263,42.35807860262009,0.07679256664567467,35.170995523719,1.1450566265244906,21.550025011025333,2.0,-1.0,5,9
liquidity_context,No liquidity sweep,3692,1535,2153,41.57638136511376,0.0035393911341728675,13.067432067366227,1.0068673960653336,66.24233453871724,2.0,-1.0,11,18
BOS_polarity,Bull BOS,2150,941,1206,43.76744186046512,0.0274847305172901,59.09217061217371,1.0557451680984353,45.7611921374498,2.0,-1.0,6,14
BOS_polarity,Bear BOS,2000,788,1210,39.4,-0.005426871510544246,-10.853743021088492,0.9899988061614651,54.09483683072784,2.0,-1.0,8,15
BOS_polarity,Both BOS,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BOS_polarity,No BOS flag,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
setup_to_BOS,Same bar,3879,1631,2243,42.04691930910028,0.014807471256137664,57.438181002558,1.0288625587775018,46.78809507193368,2.0,-1.0,9,15
setup_to_BOS,1-3 bars,98,25,73,25.510204081632654,-0.2683594619732386,-26.299227273377383,0.5999474767819266,30.81488568211222,2.0,-1.0,3,16
setup_to_BOS,4-12 bars,172,73,99,42.44186046511628,0.10058739656404825,17.3010322090163,1.193770180234251,21.27026125158285,2.0,-1.0,4,14
setup_to_BOS,13+ bars,1,0,1,0.0,-0.2015583471116507,-0.2015583471116507,0.0,0.2015583471116507,-0.2015583471116507,-0.2015583471116507,0,1
exit_reason,STOP,2002,0,2002,0.0,-1.0,-2002.0,0.0,2002.0,-1.0,-1.0,0,2002
exit_reason,TARGET,750,750,0,100.0,2.0,1500.0,99.9,0.0,2.0,2.0,750,0
exit_reason,TIME,1398,979,414,70.02861230329042,0.39358971930692793,550.2384275910853,4.840144514810544,2.941132396503747,1.98583940465495,-0.9483686547772388,15,7
