bar_i,original_direction,shadow_direction_t0,direction_relation,market_state,location_score,long_continuation_score,short_continuation_score,long_reversal_score,short_reversal_score,long_total,short_total,long_evidence,short_evidence,countertrend_ratio,active_1m,active_5m,active_15m,dominant_active,15m_state,5m_state,reason_codes,market_state_reasons,opportunity_id,traded
1673375,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,2,3,5,6,7,6,7,1.0,DOWN,UP,NEUTRAL,UP,NEUTRAL,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01673375_SHORT,True
1673482,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01673482_LONG,True
1673520,LONG,LONG,SAME,REVERSAL_TRANSITION,3,0,4,7,4,7,8,7,8,1.0,NEUTRAL,UP,DOWN,DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01673520_LONG,True
1673697,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,3,2,3,6,6,8,6,8,0.9146341463414634,STRONG_UP,DOWN,TRANSITION,STRONG_UP,NEUTRAL,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01673697_SHORT,True
1674345,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,0,2,7,7,7,7,7,1.0,STRONG_DOWN,STRONG_UP,UP,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01674345_SHORT,True
1674462,LONG,LONG,SAME,REVERSAL_TRANSITION,3,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_DOWN,DOWN,STRONG_DOWN,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01674462_LONG,True
1675453,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,5,7,2,8,7,8,7,1.0,NEUTRAL,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01675453_LONG,True
1675788,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,3,2,3,6,6,8,6,8,0.9803921568627452,STRONG_UP,DOWN,NEUTRAL,STRONG_UP,TRANSITION,DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01675788_SHORT,True
1676189,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,4,7,8,9,8,9,1.0,NEUTRAL,STRONG_UP,NEUTRAL,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01676189_SHORT,True
1677199,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,5,7,3,9,8,9,8,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01677199_LONG,True
1677746,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,1,2,7,6,8,6,8,1.0,DOWN,STRONG_UP,TRANSITION,STRONG_UP,TRANSITION,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01677746_SHORT,True
1678093,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,4,6,2,7,6,7,6,1.0,UP,DOWN,DOWN,DOWN,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01678093_LONG,True
1678238,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,3,6,3,7,6,7,6,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01678238_LONG,True
1678261,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,3,9,7,9,7,1.0,STRONG_UP,NEUTRAL,STRONG_DOWN,STRONG_DOWN,BEARISH,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01678261_LONG,True
1678445,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,4,7,3,8,7,8,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01678445_LONG,True
1678615,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,1,3,7,8,8,8,8,1.0,DOWN,STRONG_UP,TRANSITION,STRONG_UP,TRANSITION,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01678615_SHORT,True
1678799,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,2,7,7,8,7,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01678799_SHORT,True
1678975,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,1,2,7,7,8,7,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01678975_SHORT,True
1679100,LONG,LONG,SAME,REVERSAL_TRANSITION,2,0,4,6,2,6,6,6,6,1.0,UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01679100_LONG,True
1679200,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,7,2,8,6,8,6,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01679200_LONG,True
1679371,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,4,9,8,9,8,1.0,NEUTRAL,UP,STRONG_DOWN,STRONG_DOWN,TRANSITION,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01679371_LONG,True
1680080,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,1,3,7,8,8,8,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01680080_SHORT,True
1680263,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,4,6,3,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01680263_LONG,True
1680685,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,0,2,7,7,7,7,7,0.896,UP,STRONG_UP,UP,STRONG_UP,BEARISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01680685_SHORT,True
1680733,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,3,9,7,9,7,1.0,TRANSITION,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01680733_LONG,True
1681453,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,3,6,2,7,5,7,5,1.0,UP,NEUTRAL,DOWN,DOWN,BULLISH,NEUTRAL,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01681453_LONG,True
1681636,SHORT,LONG,FLIPPED,REVERSAL_TRANSITION,2,1,4,7,4,8,8,8,8,1.0,STRONG_DOWN,STRONG_DOWN,NEUTRAL,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_REJECTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01681636_SHORT,True
1681774,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,NEUTRAL,DOWN,UP,UP,BULLISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01681774_SHORT,True
1681952,SHORT,SHORT,SAME,REVERSAL_TRANSITION,1,4,0,4,8,8,8,8,8,1.0,STRONG_DOWN,DOWN,STRONG_UP,STRONG_UP,TRANSITION,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01681952_SHORT,True
1682019,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,5,7,3,9,8,9,8,0.888888888888889,UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01682019_LONG,True
1682580,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,4,6,3,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01682580_LONG,True
1682673,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01682673_LONG,True
1683351,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,3,5,3,6,6,6,6,1.0,TRANSITION,UP,DOWN,DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01683351_LONG,True
1684516,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,4,6,3,8,7,8,7,1.0,DOWN,TRANSITION,DOWN,DOWN,BULLISH,TRANSITION,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01684516_LONG,True
1685131,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,3,2,3,6,6,8,6,8,1.0,UP,UP,TRANSITION,UP,BEARISH,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01685131_SHORT,True
1685185,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,2,3,7,8,9,8,9,1.0,DOWN,STRONG_UP,NEUTRAL,STRONG_UP,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01685185_SHORT,True
1685199,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,5,7,3,9,8,9,8,1.0,DOWN,STRONG_DOWN,TRANSITION,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01685199_LONG,True
1685607,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,3,6,2,7,5,7,5,0.9565217391304347,NEUTRAL,DOWN,DOWN,DOWN,TRANSITION,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01685607_LONG,True
1685698,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,4,7,3,9,7,9,7,1.0,DOWN,STRONG_DOWN,TRANSITION,STRONG_DOWN,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01685698_LONG,True
1685785,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,0.8571428571428571,UP,STRONG_DOWN,UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01685785_LONG,True
1685853,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,5,3,7,6,7,6,0.9423076923076924,NEUTRAL,UP,DOWN,DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01685853_LONG,True
1686048,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,7,3,9,7,9,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01686048_LONG,True
1686275,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,4,6,3,8,7,8,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01686275_LONG,True
1686343,LONG,LONG,SAME,REVERSAL_TRANSITION,3,2,3,6,3,8,6,8,6,1.0,STRONG_DOWN,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01686343_LONG,True
1686575,LONG,SHORT,FLIPPED,REVERSAL_TRANSITION,3,5,2,4,8,9,10,9,10,0.8888888888888888,STRONG_UP,STRONG_UP,DOWN,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_REJECTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01686575_LONG,True
1686613,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,4,8,9,9,9,9,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01686613_SHORT,True
1686841,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,4,6,3,8,7,8,7,1.0,TRANSITION,UP,DOWN,DOWN,BULLISH,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01686841_LONG,True
1687671,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,5,7,3,8,8,8,8,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01687671_LONG,True
1688160,LONG,LONG,SAME,REVERSAL_TRANSITION,1,1,2,5,3,6,5,6,5,1.0,DOWN,UP,DOWN,DOWN,NEUTRAL,UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01688160_LONG,True
1689231,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,6,7,8,7,8,1.0,NEUTRAL,STRONG_UP,DOWN,STRONG_UP,NEUTRAL,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01689231_SHORT,True
1689532,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,1,3,6,7,7,7,7,1.0,UP,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01689532_SHORT,True
1690711,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,4,8,9,9,9,9,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01690711_SHORT,True
1690828,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,1,3,7,8,8,8,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01690828_SHORT,True
1690875,LONG,LONG,SAME,REVERSAL_TRANSITION,1,0,4,7,2,7,6,7,6,1.0,STRONG_UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01690875_LONG,True
1692367,LONG,LONG,SAME,REVERSAL_TRANSITION,3,0,5,7,2,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01692367_LONG,True
1692579,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,TRANSITION,STRONG_DOWN,UP,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01692579_LONG,True
1692688,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,STRONG_DOWN,STRONG_DOWN,STRONG_UP,STRONG_UP,TRANSITION,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01692688_SHORT,True
1692832,LONG,LONG,SAME,REVERSAL_TRANSITION,1,0,4,7,2,7,6,7,6,1.0,STRONG_UP,STRONG_DOWN,UP,STRONG_DOWN,NEUTRAL,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01692832_LONG,True
1692897,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,4,2,3,7,7,9,7,9,0.9473684210526316,STRONG_UP,DOWN,TRANSITION,STRONG_UP,BEARISH,DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01692897_SHORT,True
1692920,LONG,LONG,SAME,REVERSAL_TRANSITION,2,1,5,7,2,8,7,8,7,1.0,STRONG_UP,STRONG_DOWN,TRANSITION,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01692920_LONG,True
1693512,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,5,2,4,8,9,10,9,10,1.0,STRONG_DOWN,STRONG_UP,TRANSITION,STRONG_UP,BULLISH,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01693512_SHORT,True
1693598,LONG,LONG,SAME,REVERSAL_TRANSITION,3,1,4,6,3,7,7,7,7,1.0,STRONG_UP,STRONG_UP,STRONG_DOWN,STRONG_DOWN,TRANSITION,STRONG_UP,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01693598_LONG,True
1693998,SHORT,SHORT,SAME,REVERSAL_TRANSITION,2,5,1,3,7,8,8,8,8,1.0,NEUTRAL,STRONG_DOWN,STRONG_UP,STRONG_UP,BEARISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01693998_SHORT,True
1694159,SHORT,SHORT,SAME,REVERSAL_TRANSITION,3,4,2,3,6,7,8,7,8,1.0,DOWN,UP,UP,UP,NEUTRAL,UP,ORIGINAL_DIRECTION_SUPPORTED|PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,PRIOR_MOVE_WEAKENING|OPPOSITE_STRENGTHENING|COUNTERTREND_STRONG,OPP_01694159_SHORT,True
1694594,LONG,LONG,SAME,REVERSAL_TRANSITION,2,2,3,6,3,8,6,8,6,1.0,TRANSITION,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,BULLISH,STRONG_DOWN,ORIGINAL_DIRECTION_SUPPORTED|COUNTERTREND_STRONG,COUNTERTREND_STRONG,OPP_01694594_LONG,True
