trade_id,entry_time,direction,entry_price,initial_atr,stop_price,target_price,t5_time,mfe_at_t5_r,t5_result,exit_time,exit_price,exit_reason,gross_r,net_r,hold_minutes
P60-006847,2019-06-19 03:28:00-05:00,LONG,7681.25,1.6607142857142858,7679.589285714285,7685.401785714285,,,,596986,7679.589285714285,M0_STOP,-1.0,-1.0000944060903554,2
P60-006848,2019-06-19 03:37:00-05:00,SHORT,7677.0,1.9107142857142858,7678.910714285715,7672.223214285715,,,,596998,7678.910714285715,M0_STOP,-1.0,-1.0000944614418166,5
P60-006849,2019-06-19 05:05:00-05:00,SHORT,7673.5,1.2321428571428572,7674.732142857143,7670.419642857143,,,,597083,7670.419642857143,M0_TARGET,2.5,2.499905503820578,2
P60-006850,2019-06-19 09:24:00-05:00,SHORT,7655.0,3.75,7658.75,7645.625,597355.0,1.4,PASS,597358,7645.625,M0_TARGET,2.5,2.499905244241137,18
P60-006851,2019-06-19 10:51:00-05:00,SHORT,7658.25,2.0,7660.25,7653.25,,,,597428,7660.25,M0_STOP,-1.0,-1.000094693877551,1
P60-006852,2019-06-19 14:02:00-05:00,LONG,7682.0,6.589285714285714,7675.410714285715,7698.473214285715,597633.0,1.8590785907859078,PASS,597636,7698.473214285715,M0_TARGET,2.5,2.4999055425140115,18
P60-006853,2019-06-19 17:19:00-05:00,LONG,7701.25,1.4107142857142858,7699.839285714285,7704.776785714285,,,,597742,7699.839285714285,M0_STOP,-1.0,-1.0000941578094162,2
P60-006854,2019-06-19 20:51:00-05:00,LONG,7744.25,1.9464285714285714,7742.303571428572,7749.116071428572,597967.0,2.4403669724770642,PASS,597976,7749.116071428572,M0_TARGET,2.5,2.4999063586188126,24
P60-006855,2019-06-19 22:21:00-05:00,LONG,7760.0,1.4821428571428572,7758.517857142857,7763.705357142857,598057.0,1.686746987951807,PASS,598067,7763.705357142857,M0_TARGET,2.5,2.4999065543170294,25
P60-006856,2019-06-20 00:33:00-05:00,LONG,7759.5,1.2857142857142858,7758.214285714285,7762.714285714285,,,,598178,7758.214285714285,M0_STOP,-1.0,-1.0000934493394098,4
P60-006857,2019-06-20 00:56:00-05:00,SHORT,7756.5,1.3214285714285714,7757.821428571428,7753.196428571428,,,,598201,7753.196428571428,M0_TARGET,2.5,2.499906514080453,4
P60-006858,2019-06-20 05:19:00-05:00,LONG,7797.0,0.9821428571428571,7796.017857142857,7799.455357142857,,,,598463,7799.455357142857,M0_TARGET,2.5,2.499907003804598,3
P60-006859,2019-06-20 07:11:00-05:00,LONG,7802.25,2.4285714285714284,7799.821428571428,7808.321428571428,,,,598573,7799.821428571428,M0_STOP,-1.0,-1.0000929508459442,1
P60-006860,2019-06-20 09:21:00-05:00,SHORT,7767.5,5.589285714285714,7773.089285714285,7753.526785714285,,,,598705,7773.089285714285,M0_STOP,-1.0,-1.000093404836346,3
P60-006861,2019-06-20 09:57:00-05:00,SHORT,7762.5,4.142857142857143,7766.642857142857,7752.142857142857,,,,598743,7766.642857142857,M0_STOP,-1.0,-1.000093447618697,5
P60-006862,2019-06-20 11:03:00-05:00,SHORT,7749.0,3.0357142857142856,7752.035714285715,7741.410714285715,,,,598810,7741.410714285715,M0_TARGET,2.5,2.4999064028733855,6
P60-006863,2019-06-20 11:40:00-05:00,SHORT,7726.5,4.232142857142857,7730.732142857143,7715.919642857143,,,,598843,7730.732142857143,M0_STOP,-1.0,-1.0000938843372713,2
P60-006864,2019-06-20 12:59:00-05:00,LONG,7741.0,2.517857142857143,7738.482142857143,7747.294642857143,,,,598921,7738.482142857143,M0_STOP,-1.0,-1.000093687623311,1
P60-006865,2019-06-20 14:18:00-05:00,LONG,7750.0,2.517857142857143,7747.482142857143,7756.294642857143,,,,599008,7756.294642857143,M0_TARGET,2.5,2.4999064212105777,9
P60-006866,2019-06-20 17:36:00-05:00,LONG,7760.75,0.8392857142857143,7759.910714285715,7762.848214285715,,,,599124,7759.910714285715,M0_STOP,-1.0,-1.0000934289100345,2
P60-006867,2019-06-20 19:29:00-05:00,LONG,7762.5,1.8392857142857142,7760.660714285715,7767.098214285715,,,,599237,7760.660714285715,M0_STOP,-1.0,-1.0000934198809472,2
P60-006868,2019-06-20 20:51:00-05:00,SHORT,7755.25,2.0535714285714284,7757.303571428572,7750.116071428572,599332.0,1.2173913043478262,PASS,599337,7757.303571428572,M0_STOP,-1.0,-1.0000935098196826,20
P60-006869,2019-06-20 21:47:00-05:00,SHORT,7746.75,1.9107142857142858,7748.660714285715,7741.973214285715,,,,599381,7748.660714285715,M0_STOP,-1.0,-1.0000936107223473,8
P60-006870,2019-06-20 23:23:00-05:00,SHORT,7739.5,0.9821428571428571,7740.482142857143,7737.044642857143,,,,599478,7737.044642857143,M0_TARGET,2.5,2.4999063128090695,9
P60-006871,2019-06-20 23:57:00-05:00,SHORT,7736.0,1.0357142857142858,7737.035714285715,7733.410714285715,,,,599507,7733.410714285715,M0_TARGET,2.5,2.4999062697676138,4
P60-006872,2019-06-21 01:09:00-05:00,SHORT,7733.25,1.6964285714285714,7734.946428571428,7729.008928571428,,,,599582,7734.946428571428,M0_STOP,-1.0,-1.000093771580744,7
P60-006873,2019-06-21 01:34:00-05:00,LONG,7744.0,1.6071428571428572,7742.392857142857,7748.017857142857,,,,599603,7748.017857142857,M0_TARGET,2.5,2.4999063596986906,3
P60-006874,2019-06-21 02:17:00-05:00,LONG,7756.25,3.142857142857143,7753.107142857143,7764.107142857143,,,,599645,7753.107142857143,M0_STOP,-1.0,-1.000093510896553,2
P60-006875,2019-06-21 03:32:00-05:00,LONG,7756.0,1.9821428571428572,7754.017857142857,7760.955357142857,,,,599719,7754.017857142857,M0_STOP,-1.0,-1.0000934999136393,1
P60-006876,2019-06-21 04:41:00-05:00,SHORT,7751.0,2.392857142857143,7753.392857142857,7745.017857142857,,,,599789,7753.392857142857,M0_STOP,-1.0,-1.0000935652029628,2
P60-006877,2019-06-21 05:55:00-05:00,LONG,7747.75,2.142857142857143,7745.607142857143,7753.107142857143,,,,599863,7753.107142857143,M0_TARGET,2.5,2.499906398557708,2
P60-006878,2019-06-21 06:15:00-05:00,SHORT,7745.5,2.4285714285714284,7747.928571428572,7739.428571428572,,,,599882,7747.928571428572,M0_STOP,-1.0,-1.0000936320950526,1
P60-006879,2019-06-21 07:18:00-05:00,SHORT,7738.25,2.2857142857142856,7740.535714285715,7732.535714285715,,,,599956,7740.535714285715,M0_STOP,-1.0,-1.0000937181162197,12
P60-006880,2019-06-21 08:25:00-05:00,SHORT,7745.75,3.2857142857142856,7749.035714285715,7737.535714285715,,,,600012,7749.035714285715,M0_STOP,-1.0,-1.0000936394374254,1
P60-006881,2019-06-21 08:41:00-05:00,LONG,7751.75,7.303571428571429,7744.446428571428,7770.008928571428,,,,600030,7744.446428571428,M0_STOP,-1.0,-1.0000936154709943,3
P60-006882,2019-06-21 08:51:00-05:00,SHORT,7740.5,6.910714285714286,7747.410714285715,7723.223214285715,,,,600039,7747.410714285715,M0_STOP,-1.0,-1.0000937468972317,2
