trade_id,direction,outcome,net_R,15m_state,15m_strength,15m_score,5m_direction,5m_struct_score,5m_loc_score,5m_react_score,pb_depth_pct,swing_dist_atr,impulse_atr_15m
T58-130619,LONG,LOSER,-1.1954271961492589,BEARISH,-1.5,-2,NEUTRAL,2,1,2,0.518918918918919,3.162962962962963,2.45745997890547
T58-116243,SHORT,LOSER,-1.1151773049645342,BULLISH,1.5,-2,BULLISH,2,0,0,0.7222222222222222,3.0495049504950495,0.7865258021226239
T58-220420,LONG,LOSER,-1.1313915857604806,BULLISH,2.0,2,BULLISH,2,1,0,0.21038961038961038,5.94413407821229,1.464058637580994
T58-191144,SHORT,LOSER,-1.1063523248199165,BULLISH,1.0,0,NEUTRAL,2,1,3,0.3712374581939799,5.264,1.2361116276754758
T58-072152,LONG,LOSER,-1.360888888888749,NEUTRAL,-0.5,0,BULLISH,2,0,2,0.6413793103448275,3.726618705035971,2.765926895152068
T58-097297,SHORT,LOSER,-1.239528023598779,BEARISH,-1.0,1,NEUTRAL,2,1,2,0.46808510638297873,6.25,1.4277466368234915
T58-127468,LONG,LOSER,-1.1171717171717173,BULLISH,2.0,2,NEUTRAL,2,0,0,0.1420863309352518,15.177272727272728,5.288927575265413
T58-199572,SHORT,LOSER,-1.0629457364341,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.0,17.601449275362317,3.166822237078426
T58-151507,LONG,LOSER,-1.189941520467862,NEUTRAL,-0.5,0,NEUTRAL,2,1,2,0.2638888888888889,7.675862068965517,3.264610727388976
T58-009051,SHORT,LOSER,-1.413231552162758,BEARISH,-2.0,2,NEUTRAL,2,0,0,0.13725490196078433,7.619047619047619,2.556019883451336
T58-104056,SHORT,LOSER,-1.4549019607843137,NEUTRAL,0.5,0,BEARISH,2,1,1,0.3971631205673759,4.06,1.0241403122430366
T58-206303,SHORT,LOSER,-1.1370464135021368,BULLISH,1.5,-2,BEARISH,2,1,1,0.2803970223325062,1.6363636363636365,1.511372361541879
T58-114429,SHORT,LOSER,-1.229378531073484,BULLISH,1.0,0,BEARISH,2,1,0,0.5823293172690763,4.088495575221239,1.6028474351773476
T58-097836,SHORT,LOSER,-1.3147286821706492,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.07964601769911504,7.380434782608696,3.4013584096277194
T58-169453,LONG,LOSER,-1.1625625625625247,BEARISH,-1.0,0,NEUTRAL,2,1,0,0.2217391304347826,5.397590361445783,1.9159812775898462
T58-102231,SHORT,LOSER,-1.2720268006699371,BEARISH,-1.5,2,BULLISH,2,1,0,0.24347826086956523,5.033057851239669,0.8609309018629424
T58-196509,SHORT,LOSER,-1.2106355382620293,TRANSITION,0.0,0,BULLISH,2,1,0,0.474025974025974,4.7250000000000005,1.5769151673762662
T58-196486,LONG,LOSER,-1.307575757575961,BULLISH,2.0,2,NEUTRAL,2,0,1,0.13725490196078433,8.166666666666668,1.02155073408854
T58-113849,SHORT,LOSER,-1.08947658402203,BEARISH,-2.0,2,NEUTRAL,2,0,0,0.13666666666666666,12.95,4.128921545498398
T58-076505,LONG,LOSER,-1.0989640463132202,BULLISH,2.0,2,NEUTRAL,2,0,3,0.03125,10.787762906309752,2.24493824183801
T58-080494,SHORT,LOSER,-1.0982456140350947,BEARISH,-2.0,2,NEUTRAL,2,1,1,0.8547854785478548,1.6369982547993018,3.6763688043066507
T58-213032,LONG,LOSER,-1.0919071873231647,BULLISH,1.0,1,BULLISH,2,1,0,0.7518518518518519,0.4602076124567474,1.4462653108283676
T58-032967,LONG,LOSER,-1.5106918238992777,TRANSITION,0.0,0,NEUTRAL,1,1,2,0.24615384615384617,6.792079207920792,1.65267147138361
T58-110826,LONG,LOSER,-1.094473531122749,BULLISH,2.0,2,NEUTRAL,2,1,0,0.38642297650130547,5.970961887477315,1.8328073961268727
T58-139335,LONG,LOSER,-1.1154228855721393,NEUTRAL,-0.5,0,NEUTRAL,2,0,2,0.7199170124481328,3.9622641509433967,2.1277627285834586
T58-095834,LONG,LOSER,-1.1757575757575758,BULLISH,2.0,2,NEUTRAL,2,0,2,0.07096774193548387,7.123674911660777,2.2444359669239966
T58-192786,LONG,LOSER,-1.1828828828828588,BEARISH,-2.0,-2,BULLISH,2,0,1,0.75,3.7752808988764044,1.0974269833983188
T58-099108,LONG,LOSER,-1.1982905982905983,BULLISH,2.0,2,NEUTRAL,2,0,2,0.0044444444444444444,22.480286738351257,3.625685868668896
T58-196882,SHORT,LOSER,-1.4876876876871763,BEARISH,-1.0,1,NEUTRAL,2,0,3,0.028985507246376812,5.894736842105263,1.107052146225344
T58-209392,LONG,LOSER,-1.178070175438642,BULLISH,1.5,2,BULLISH,2,0,1,0.14855072463768115,10.612903225806452,0.8771897345177908
T58-085198,SHORT,LOSER,-1.1011838006230419,BEARISH,-2.0,2,BEARISH,2,0,2,0.04180064308681672,7.886578449905482,1.9480787953251466
T58-056503,SHORT,LOSER,-1.7960784313730032,BULLISH,1.5,-2,BULLISH,2,0,1,0.7931034482758621,2.7096774193548385,1.2569225368568027
T58-014894,LONG,LOSER,-2.1517730496446767,NEUTRAL,-0.5,0,NEUTRAL,2,1,0,0.35294117647058826,6.416666666666667,0.9364726037039339
T58-018503,LONG,LOSER,-1.383924349881744,BULLISH,2.0,2,NEUTRAL,2,1,1,0.15942028985507245,6.4959999999999996,2.2581637455334715
T58-054114,SHORT,LOSER,-1.23233190271813,BEARISH,-2.0,2,NEUTRAL,2,1,2,0.1557377049180328,6.269565217391305,2.6059376241714953
T58-164413,LONG,LOSER,-1.311111111110903,BULLISH,2.0,2,NEUTRAL,2,0,1,0.11731843575418995,13.654320987654321,1.4945554670284211
T58-186081,SHORT,LOSER,-1.138095238095238,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.12040133779264214,8.829736211031175,2.480808397415386
T58-042745,LONG,LOSER,-1.496636085626867,BEARISH,-2.0,-2,BULLISH,2,0,2,0.6373626373626373,2.774774774774775,2.5037784323855163
T58-100245,LONG,LOSER,-1.1696969696970005,NEUTRAL,0.5,0,NEUTRAL,2,0,1,0.7030651340996169,7.138157894736842,0.8700003385373418
T58-065107,LONG,LOSER,-1.237426900584856,BULLISH,2.0,2,NEUTRAL,2,0,2,0.11518324607329843,10.242424242424242,1.5559826516449786
T58-161595,LONG,LOSER,-1.6014814814807035,NEUTRAL,-0.5,0,NEUTRAL,2,1,1,0.19753086419753085,10.224719101123597,0.7983693807175585
T58-120468,SHORT,LOSER,-1.2693200663350437,BULLISH,1.5,-2,NEUTRAL,2,0,0,0.6041666666666666,2.9887640449438204,1.3824144974958799
T58-011657,SHORT,LOSER,-1.5698245614034505,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.078125,12.142857142857142,1.7994473335379706
T58-215244,LONG,LOSER,-1.0537037037037038,BULLISH,1.5,2,NEUTRAL,2,1,2,0.2751842751842752,4.3200836820083675,1.3342226090091802
T58-059734,LONG,LOSER,-1.1159172019985821,BULLISH,2.0,2,BULLISH,2,0,1,0.08238636363636363,9.830434782608696,2.043744309510954
T58-137996,LONG,LOSER,-1.1686396677050985,BULLISH,2.0,2,NEUTRAL,1,1,0,0.3869346733668342,5.287925696594427,1.9885263508374798
T58-056836,LONG,LOSER,-1.2148148148148148,BULLISH,2.0,2,BULLISH,2,0,3,0.020689655172413793,7.587786259541985,3.473839594374104
T58-158307,LONG,LOSER,-1.2679867986797135,BEARISH,-2.0,-2,NEUTRAL,2,0,2,0.08620689655172414,5.6000000000000005,1.067069755490756
T58-136146,SHORT,LOSER,-1.071134472185724,BEARISH,-2.0,2,NEUTRAL,2,1,2,0.17254901960784313,8.525252525252526,2.7198432771362864
T58-180590,SHORT,LOSER,-1.1171717171717173,NEUTRAL,-0.5,0,NEUTRAL,2,0,0,0.6814814814814815,3.2540540540540537,1.4669463272106587
T58-172835,LONG,LOSER,-1.1250192455734844,BULLISH,2.0,2,NEUTRAL,2,0,0,0.146875,9.75,2.6873223802590105
T58-005712,LONG,LOSER,-6.413333333338585,BULLISH,1.0,1,NEUTRAL,1,0,2,0.125,8.4,0.8672182602079838
T58-072608,SHORT,LOSER,-1.5012345679009644,BEARISH,-1.0,1,NEUTRAL,2,1,0,0.543859649122807,6.222222222222221,0.7784393262468303
