system,trade_id,capture_after_signal,capture_entire_move,favorable_spent_before_entry_atr,total_excursion_atr
A_Phase58_1M,T58-192467,1.0,1.0,0.0,4.315068493150685
A_Phase58_1M,T58-181489,1.0,1.0,0.0,5.22707423580786
A_Phase58_1M,T58-023512,1.0,1.0,0.0,6.571428571428571
A_Phase58_1M,T58-175948,1.0,1.0,0.0,1.2173913043478262
A_Phase58_1M,T58-061116,0.9955947136563876,0.9955947136563876,0.0360128617363344,8.17491961414791
A_Phase58_1M,T58-137069,1.0,1.0,0.0,2.853503184713376
A_Phase58_1M,T58-039701,0.8076923076923077,0.8076923076923077,0.8484848484848484,4.412121212121212
A_Phase58_1M,T58-194614,0.972972972972973,0.972972972972973,0.07161125319693094,2.6496163682864453
A_Phase58_1M,T58-160822,1.0,1.0,0.0,4.688995215311005
A_Phase58_1M,T58-022483,0.8333333333333333,0.8333333333333333,0.23728813559322035,1.423728813559322
A_Phase58_1M,T58-163803,0.8959999999999999,0.8959999999999999,1.272727272727273,12.237762237762238
A_Phase58_1M,T58-035366,0.6842105263157895,0.6842105263157895,1.0632911392405062,3.3670886075949364
A_Phase58_1M,T58-002816,0.8028169014084507,0.8028169014084507,0.8166666666666667,4.141666666666667
A_Phase58_1M,T58-032910,1.0,1.0,0.0,2.6705202312138727
A_Phase58_1M,T58-134156,0.33333333333333337,0.33333333333333337,0.38956521739130434,0.5843478260869566
A_Phase58_1M,T58-170769,0.8766519823788546,0.8766519823788546,0.6700854700854701,5.432478632478633
A_Phase58_1M,T58-056066,1.0,1.0,0.0,9.916666666666668
A_Phase58_1M,T58-036717,1.0,1.0,0.0,1.6085106382978724
A_Phase58_1M,T58-170546,0.7777777777777778,0.7777777777777778,0.23728813559322035,1.0677966101694916
A_Phase58_1M,T58-084048,1.0,1.0,0.0,2.359550561797753
A_Phase58_1M,T58-161701,0.7619047619047619,0.7619047619047619,1.8181818181818181,7.636363636363637
A_Phase58_1M,T58-141722,1.0,1.0,0.0,0.07692307692307693
A_Phase58_1M,T58-178657,1.0,1.0,0.0,3.1733333333333333
A_Phase58_1M,T58-138485,0.8777777777777778,0.8777777777777778,0.7264150943396227,5.943396226415095
A_Phase58_1M,T58-124133,1.0,1.0,0.0,2.6586538461538463
A_Phase58_1M,T58-100324,1.0,1.0,0.0,3.284738041002278
A_Phase58_1M,T58-028404,1.0,1.0,0.0,15.206896551724137
A_Phase58_1M,T58-046309,1.0,1.0,0.0,9.032258064516128
A_Phase58_1M,T58-131137,1.0,1.0,0.0,1.1120567375886525
A_Phase58_1M,T58-084176,1.0,1.0,0.0,2.2349397590361444
A_Phase58_1M,T58-174455,0.9296875,0.9296875,1.0769230769230769,15.316239316239315
A_Phase58_1M,T58-120435,0.9775280898876404,0.9775280898876404,0.05194805194805195,2.311688311688312
A_Phase58_1M,T58-092805,0.8971631205673759,0.8971631205673759,0.7898832684824902,7.680933852140077
