trade_id,direction,system,A_eventual_5m,B_at_horizon_5m,A_eventual_10m,B_at_horizon_10m,A_eventual_15m,B_at_horizon_15m,A_eventual_30m,B_at_horizon_30m,A_eventual_60m,B_at_horizon_60m,C_target_before_stop,D_stop_before_target
T58-105908,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-151349,LONG,A,False,False,True,True,True,True,True,True,True,True,True,False
T58-123196,SHORT,A,False,True,False,True,False,True,False,True,True,False,False,True
T58-140591,LONG,A,True,True,True,False,True,False,True,False,True,False,True,False
T58-215339,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-084617,SHORT,A,True,False,True,False,True,True,True,True,True,True,True,False
T58-014855,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-196558,LONG,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-141430,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-104590,SHORT,A,True,False,True,False,True,False,True,True,True,False,True,False
T58-130584,LONG,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-122191,LONG,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-127640,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-029644,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-045759,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-031142,LONG,A,True,True,True,True,True,False,True,False,True,False,False,True
T58-185655,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-207552,LONG,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-190170,SHORT,A,True,True,True,False,True,True,True,True,True,True,False,True
T58-137757,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-144497,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-123347,SHORT,A,True,False,True,True,True,True,True,False,True,False,True,False
T58-139826,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-060687,LONG,A,False,False,True,True,True,True,True,True,True,False,False,True
T58-144828,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-174711,LONG,A,True,False,True,True,True,True,True,True,True,False,False,True
T58-008567,LONG,A,True,True,True,False,True,False,True,True,True,True,True,False
T58-105361,LONG,A,True,True,True,False,True,False,True,True,True,False,True,False
T58-114787,SHORT,A,True,False,True,False,True,False,True,True,True,True,True,False
T58-210908,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-185956,LONG,A,True,True,True,False,True,True,True,True,True,True,False,True
T58-081854,LONG,A,False,False,False,False,False,False,False,False,True,True,False,True
T58-004130,LONG,A,False,False,False,False,False,False,True,True,True,False,False,True
T58-012358,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-147619,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-035631,LONG,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-142945,SHORT,A,True,False,True,True,True,False,True,False,True,True,True,False
T58-219223,LONG,A,True,True,True,False,True,True,True,False,True,False,False,True
T58-221531,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-010650,LONG,A,False,False,False,False,False,False,True,True,True,True,False,True
T58-188831,SHORT,A,False,True,False,True,False,True,False,True,True,True,False,True
T58-064552,LONG,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-099077,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-104741,LONG,A,True,False,True,True,True,False,True,False,True,True,False,True
T58-027996,LONG,A,True,False,True,False,True,True,True,False,True,True,True,False
T58-166423,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-007629,LONG,A,True,False,True,False,True,False,True,True,True,False,True,False
T58-068659,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-083052,LONG,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-131637,LONG,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-165143,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-141655,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-048947,LONG,A,True,True,True,True,True,False,True,True,True,True,True,False
T58-180605,SHORT,A,False,True,False,True,False,True,False,True,False,True,False,True
T58-108893,LONG,A,True,False,True,False,True,True,True,False,True,False,False,True
T58-159798,SHORT,A,False,True,True,False,True,False,True,False,True,True,False,True
T58-218021,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-212309,LONG,A,True,False,True,False,True,True,True,True,True,True,False,True
T58-036450,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
