timestamp,15m_state,5m_state,setup_id,5m_decision,5m_score,1m_execution_state,entry_timestamp,entry_price,stop,target,reason_codes
2018-05-28 08:05:00-05:00,NEUTRAL,TAKE,S58B-004726,TAKE_LONG,6,X1_FALLBACK,,6977.5,,,15M_NEUTRAL|5M_LH|5M_HL|5M_MOM_UP|5M_NEAR_SWING_LOW|5M_PB_DEPTH_OK|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-28 08:30:00-05:00,BULLISH,TAKE,S58B-004727,TAKE_SHORT,5,X1_FALLBACK,,6972.25,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_DN|5M_DIR_RESPONSE|5M_REJECTION|5M_MICRO_SHIFT
2018-05-28 11:20:00-05:00,BULLISH,TAKE,S58B-004729,TAKE_LONG,5,X1_FAVORABLE,,6994.75,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
2018-05-28 11:45:00-05:00,BULLISH,TAKE,S58B-004730,TAKE_LONG,5,X1_FAVORABLE,,6997.25,,,15M_SUPPORT_1|5M_HH|5M_HL|5M_MOM_UP|5M_DIR_RESPONSE|5M_MICRO_SHIFT
2018-05-28 18:20:00-05:00,NEUTRAL,TAKE,S58B-004732,TAKE_SHORT,4,X1_FALLBACK,,6992.25,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_DN|5M_DIR_RESPONSE|5M_REJECTION
2018-05-28 18:55:00-05:00,BEARISH,TAKE,S58B-004734,TAKE_SHORT,5,MISSED_NO_CHASE,,,,,15M_SUPPORT_2|5M_LH|5M_LL|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-28 19:25:00-05:00,TRANSITION,TAKE,S58B-004735,TAKE_SHORT,4,MISSED_NO_CHASE,,,,,15M_NEUTRAL|5M_LH|5M_LL|5M_MOM_UP|5M_PB_DEPTH_OK|5M_DIR_RESPONSE
2018-05-28 21:10:00-05:00,BEARISH,TAKE,S58B-004737,TAKE_SHORT,5,X1_FAVORABLE,,6972.5,,,15M_SUPPORT_2|5M_LL|5M_MOM_DN|5M_DIR_RESPONSE
2018-05-28 22:25:00-05:00,BEARISH,TAKE,S58B-004738,TAKE_SHORT,5,X1_FALLBACK,,6972.5,,,15M_SUPPORT_2|5M_LH|5M_MOM_DN|5M_PB_DEPTH_OK
2018-05-28 22:50:00-05:00,BULLISH,TAKE,S58B-004739,TAKE_LONG,5,X1_FALLBACK,,6976.0,,,15M_SUPPORT_2|5M_HH|5M_HL|5M_MOM_UP|5M_PB_DEPTH_OK
