model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,trend_state,Range/chop,23,6,17,26.08695652173913,-0.17343626636457357,-3.9890341263851923,0.6914558051927439,5.663568422590241,2.0,-1.0,2,4,0,0.2287560194233137,-0.6217980644342684,0.27492553170512124,False
Confirm,direction,Long,362,155,206,42.81767955801105,-0.046083697371847025,-16.682298448608623,0.9081052039754832,27.122678931948105,2.0,-1.0,5,9,1,0.0573146000843448,-0.15842031353716285,0.06625291879346878,True
Confirm,direction,Short,343,134,209,39.067055393586,-0.026059163007525955,-8.938292911581403,0.9520989289043768,24.790051472734717,2.0,-1.0,6,9,0,0.06425540350567151,-0.1519997538786421,0.0998814278635902,True
Confirm,HTF_regime,Bull,433,176,256,40.646651270207855,-0.03369817279959359,-14.591308822224025,0.9347044014630637,41.60083925131701,2.0,-1.0,5,10,1,0.054569592164883926,-0.14065457344276608,0.07325822784357891,True
Confirm,HTF_regime,Bear,248,107,141,43.145161290322584,0.0037333783421087036,0.9258778288429586,1.0072312820863014,15.552763585057367,2.0,-1.0,4,10,0,0.07395425372152853,-0.1412169589520872,0.14868371563630461,True
Confirm,HTF_regime,Neutral,24,6,18,25.0,-0.49813168195037316,-11.955160366808956,0.2812238913446675,12.586029039739438,2.0,-1.0,2,7,0,0.17088155455954926,-0.8330595288870897,-0.1632038350136566,False
Confirm,session,Overnight,235,90,145,38.297872340425535,-0.08612256416563976,-20.238802578925345,0.8440455926213252,38.24625251048487,2.0,-1.0,5,14,0,0.07443135445802633,-0.23200801890337136,0.05976289057209183,True
Confirm,session,Premarket,168,67,101,39.88095238095238,0.010175292080809388,1.7094490695759772,1.017330417284674,17.472447799228917,2.0,-1.0,7,8,0,0.09981700976616424,-0.18546604706087252,0.2058166312224913,True
Confirm,session,Open,51,24,27,47.05882352941177,0.00641432640031639,0.3271306464161359,1.0142783398393038,7.351777225841593,2.0,-1.0,4,4,0,0.1479108827322824,-0.28349100375495706,0.2963196565555899,True
Confirm,session,MidAM,68,31,37,45.588235294117645,-0.06285379311081664,-4.274057931535531,0.866609661948794,13.205815965657912,2.0,-1.0,4,9,0,0.12496871367719067,-0.3077924719181104,0.18208488569647707,True
Confirm,session,Midday,95,43,52,45.26315789473684,0.02633207927601118,2.501547531221062,1.0577427743175305,8.576068349279451,2.0,-1.0,4,8,0,0.11100517107172925,-0.19123805602457816,0.2439022145766005,True
Confirm,session,PM,83,30,52,36.144578313253014,-0.10579844500557536,-8.781270935462755,0.782902303256784,11.378264852799242,2.0,-1.0,3,8,1,0.11133204475479927,-0.32400925272498193,0.1124123627138312,True
Confirm,session,After-hours,5,4,1,80.0,0.6270825677040843,3.1354128385204216,4.135412838520422,1.0,1.703840344984011,-1.0,4,1,0,0.4531574845366969,-0.26110610198784157,1.5152712373960102,False
Confirm,score_band,70-74,2,0,2,0.0,-1.0,-2.0,0.0,2.0,-1.0,-1.0,0,2,0,0.0,-1.0,-1.0,False
Confirm,score_band,75-79,309,136,172,44.01294498381877,0.006597342684273719,2.038578889440579,1.0138222884532777,13.587015248585029,2.0,-1.0,6,6,1,0.0629069766689119,-0.11670033158679362,0.12989501695534106,True
Confirm,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Confirm,score_band,85-89,45,18,27,40.0,-0.08220711754311921,-3.6993202894403643,0.8373384994069175,8.659114430096084,2.0,-1.0,2,4,0,0.15904889545606296,-0.39394295263700263,0.2295287175507642,True
Confirm,score_band,90-94,283,110,173,38.869257950530034,-0.033317997669895134,-9.428993340580323,0.9414905615249924,20.03095185740866,2.0,-1.0,4,9,0,0.07286513845327809,-0.17613366903832017,0.10949767369852992,True
Confirm,score_band,95+,66,25,41,37.878787878787875,-0.1898614639334838,-12.530856619609931,0.6394539673893477,18.467275545905576,2.0,-1.0,3,7,0,0.11744957172168535,-0.4200626245079871,0.040339696641019496,True
Confirm,date_third,Early third,248,97,150,39.11290322580645,-0.059563221984882536,-14.77167905225087,0.8916377230115136,30.607286893562623,2.0,-1.0,5,10,1,0.07361562983463454,-0.20384985646076623,0.08472341249100115,True
