model,dimension,bucket,feature_1,value_1,feature_2,value_2,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Confirm,HTF_regime x session,Bear | Midday,htf_regime_name,Bear,session_name,Midday,33,13,20,39.39393939393939,-0.012217070948867209,-0.4031633413126179,0.975864322889131,7.03769434014094,2.0,-1.0,3,6,0,0.20173442856171916,-0.4076165509298368,0.3831824090321024,True
Confirm,HTF_regime x session,Bear | PM,htf_regime_name,Bear,session_name,PM,34,16,18,47.05882352941177,0.18685690609203912,6.35313480712933,1.4207086296490876,2.363547759921426,2.0,-1.0,3,3,0,0.208189930372827,-0.22119535743870175,0.59490916962278,True
Confirm,HTF_regime x session,Bear | After-hours,htf_regime_name,Bear,session_name,After-hours,2,1,1,50.0,-0.2662117973688388,-0.5324235947376776,0.4675764052623223,1.0,0.4675764052623223,-1.0,1,1,0,0.7337882026311611,-1.7044366745259145,1.1720130797882367,False
Confirm,HTF_regime x session,Neutral | Overnight,htf_regime_name,Neutral,session_name,Overnight,5,0,5,0.0,-0.8228792227775171,-4.114396113887586,0.0,4.114396113887586,-0.1143961138875859,-1.0,0,5,0,0.17712077722248284,-1.1700359461335834,-0.4757224994214508,False
Confirm,HTF_regime x session,Neutral | Premarket,htf_regime_name,Neutral,session_name,Premarket,7,1,6,14.285714285714286,-0.7820794099723299,-5.474555869806309,0.0875740216989484,6.0,0.5254441301936904,-1.0,1,6,0,0.21792059002767006,-1.2092037664265631,-0.35495505351809664,False
Confirm,HTF_regime x session,Neutral | Open,htf_regime_name,Neutral,session_name,Open,3,1,2,33.333333333333336,-0.35409626895541546,-1.0622888068662464,0.4688555965668768,2.0,0.9377111931337536,-1.0,1,2,0,0.6459037310445847,-1.6200675818028014,0.9118750438919705,False
Confirm,HTF_regime x session,Neutral | MidAM,htf_regime_name,Neutral,session_name,MidAM,4,3,1,75.0,0.396536980429307,1.586147921717228,2.586147921717228,1.0,2.0,-1.0,2,1,0,0.6200297703818786,-0.8187213695191748,1.611795330377789,False
Confirm,HTF_regime x session,Neutral | Midday,htf_regime_name,Neutral,session_name,Midday,2,1,1,50.0,-0.1859005987207502,-0.3718011974415004,0.6281988025584996,1.0,0.6281988025584996,-1.0,1,1,0,0.8140994012792496,-1.7815354252280795,1.409734227786579,False
Confirm,HTF_regime x session,Neutral | PM,htf_regime_name,Neutral,session_name,PM,3,0,3,0.0,-0.8394221001748475,-2.5182663005245427,0.0,2.5182663005245427,-0.5182663005245425,-1.0,0,3,0,0.1605778998251525,-1.1541547838321464,-0.5246894165175486,False
Confirm,HTF_regime x session,Neutral | After-hours,htf_regime_name,Neutral,session_name,After-hours,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
