model,window_months,start_month,end_month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Retest,12,2025-07,2026-06,418,170,247,40.66985645933014,-0.04901426930533745,-20.487964569631053,0.9054494419051762,34.052020061707424,2.0,-1.0,7,9,1,0.05505988056043848,-0.15693163520379688,0.05890309659312197,True
Confirm,3,2024-01,2024-03,79,37,41,46.835443037974684,0.14117042548630793,11.152463613418327,1.2902921560983889,5.111277148192479,2.0,-1.0,4,5,1,0.1400599955542934,-0.13334716580010714,0.415688016772723,True
Confirm,3,2024-02,2024-04,72,32,40,44.44444444444444,0.10218169235751147,7.357081849740826,1.2040297534678717,9.119511248435112,2.0,-1.0,4,10,0,0.14624150180646375,-0.18445165118315748,0.3888150358981804,True
Confirm,3,2024-03,2024-05,72,28,44,38.888888888888886,0.03232035751230371,2.327065740885867,1.0599992830965177,14.24607894033559,2.0,-1.0,4,10,0,0.14705685000341706,-0.2559110684943937,0.32055178351900115,True
Confirm,3,2024-04,2024-06,74,24,50,32.432432432432435,-0.20089996246461236,-14.866597222381316,0.6547946200542752,15.650897982687306,2.0,-1.0,5,7,0,0.12430611561831478,-0.44453994907650934,0.042740024147284617,True
Confirm,3,2024-05,2024-07,84,24,60,28.571428571428573,-0.289832166262451,-24.345901966045883,0.5402731774025793,26.847238496697777,2.0,-1.0,5,9,0,0.114327153307441,-0.5139133867450354,-0.06575094577986665,True
Confirm,3,2024-06,2024-08,78,27,51,34.61538461538461,-0.24699645196488434,-19.26572325326098,0.5830863096865081,19.265723253260987,2.0,-1.0,5,9,0,0.11596374073559794,-0.4742853838066563,-0.019707520123112388,True
Confirm,3,2024-07,2024-09,68,25,43,36.76470588235294,-0.12111140259678332,-8.235575376581266,0.7920414313420777,14.881710292996859,2.0,-1.0,4,9,0,0.13987316702198682,-0.3952628099598775,0.15304000476631086,True
Confirm,3,2024-08,2024-10,65,28,37,43.07692307692308,-0.03611348988450755,-2.3473768424929906,0.9329775734787561,8.125682131273173,2.0,-1.0,5,8,0,0.142662515117188,-0.31573201951419605,0.24350503974518092,True
Confirm,3,2024-09,2024-11,69,29,40,42.028985507246375,0.014649258204792698,1.0107988161306962,1.0283434241965235,8.125682131273173,2.0,-1.0,5,8,0,0.14038845251425056,-0.2605121087231384,0.28981062513272376,True
Confirm,3,2024-10,2024-12,75,30,45,40.0,-0.09469846908646583,-7.102385181484937,0.8208664002188814,10.932984035427072,2.0,-1.0,5,8,0,0.12456451519563082,-0.3388449188699022,0.14944798069697057,True
Confirm,3,2024-11,2025-01,69,32,37,46.3768115942029,0.08846888276835284,6.1043529110163455,1.1883070709132815,7.243721972245785,2.0,-1.0,4,5,0,0.14053415038466427,-0.1869780519855891,0.3639158175222948,True
Confirm,3,2024-12,2025-02,69,27,42,39.130434782608695,-0.047871975209758194,-3.3031662894733156,0.9081557404125757,9.00292656157529,2.0,-1.0,4,8,0,0.13581140375729361,-0.31406232657405364,0.21831837615453728,True
Confirm,3,2025-01,2025-03,62,28,34,45.16129032258065,0.1100635941258053,6.8239428357999286,1.2260583072067428,9.00292656157529,2.0,-1.0,5,8,0,0.15491398576978874,-0.19356781798298062,0.4136950062345912,True
Confirm,3,2025-02,2025-04,68,29,39,42.64705882352941,-0.017381775116159875,-1.1819607078988716,0.9646568976912155,9.002926561575288,2.0,-1.0,5,8,0,0.1352576410200589,-0.2824867515154753,0.2477232012831556,True
