trade_sequence,best_family_cumulative_net_R,complement_cumulative_net_R,long_cumulative_net_R,short_cumulative_net_R
113,,-5.674825125075648,-11.775751236209773,-15.906471446960204
114,,-4.047444100847402,-10.516379746253593,-16.951162187472562
115,,-4.626610793273084,-11.538269508834754,-17.97475788888165
116,,-5.667076339762553,-9.572837593010313,-18.991774642578967
117,,-3.705753036364162,-10.58877881316811,-17.023930003263086
118,,-4.74264967167853,-11.636723464115253,-18.043457121313477
119,,-5.770295741094627,-10.965589044604796,-19.102611837744014
120,,-6.871224793165084,-12.011787291045371,-20.180632841375232
121,,-7.096797456921586,-11.541624387523626,-20.39722525679746
122,,-8.178217499692332,-12.561231996501787,-21.45365296247678
123,,-8.656166446860857,-13.575456167683349,-20.949253416455214
124,,-7.842594792926991,-14.487019878265114,-22.008882220452886
125,,-8.862755568508458,-15.153403416055188,-22.68367327691554
126,,-7.930167513083255,-13.832504722430965,-23.73162823154426
127,,-5.969703877494488,-11.859972765860782,-22.873719834871565
128,,-5.682527809145366,-10.203779200120755,-20.989169957820703
129,,-5.4977820712130985,-9.56317403455962,-21.653927371129832
130,,-5.308354854283904,-9.584565614890007,-22.665912981071152
131,,-6.384573688005396,-10.61822864067872,-23.676554163848905
132,,-7.132560495159288,-9.226820559723558,-23.1761062375381
133,,-8.251739112232379,-10.28063304121195,-24.23053852500528
134,,-9.289154870494674,-11.330080000583138,-22.247096399321347
135,,-10.319600600771341,-9.381642767235139,-23.26001022395909
136,,-9.499675497563743,-8.405086906144778,-21.277885192168856
137,,-10.669338860756357,-6.456390872667612,-22.322870205926176
138,,-9.887675483893798,-5.599255778793067,-20.359999029904188
139,,-10.909275185934431,-6.341314055054997,-21.3971904431791
140,,-10.967642976501702,-7.364969555118691,-22.409382588053862
141,,-12.04949337991757,-8.426059627832547,-23.421386397252807
