direction,outcome,net_R,location_score,direction_score,reaction_score,15m_state
LONG,LOSER,-2.0826666666662463,2,3,2,BULLISH
SHORT,WINNER,1.3231884057973495,1,3,2,BEARISH
SHORT,WINNER,1.7584474885843764,0,4,2,BEARISH
SHORT,WINNER,2.2180555555555412,1,2,2,TRANSITION
SHORT,WINNER,2.116075650118256,2,4,2,BEARISH
SHORT,WINNER,2.1906666666666665,2,3,2,BEARISH
LONG,LOSER,-1.2834205933682805,1,4,2,BULLISH
SHORT,WINNER,2.2550527903469186,1,4,1,BEARISH
LONG,LOSER,-1.3785547785548042,1,4,2,BULLISH
SHORT,LOSER,-1.470724637681199,1,2,2,NEUTRAL
LONG,WINNER,2.1133333333333333,2,2,2,BULLISH
SHORT,LOSER,-5.5111111111001705,1,3,1,BEARISH
LONG,WINNER,1.6125683060113523,0,4,2,BULLISH
SHORT,LOSER,-3.3536231884087755,2,2,1,TRANSITION
LONG,LOSER,-2.8044444444461947,1,2,2,BULLISH
SHORT,LOSER,-3.577777777777778,1,4,1,BEARISH
LONG,LOSER,-3.8491228070131798,3,2,0,TRANSITION
LONG,LOSER,-6.413333333338585,2,1,2,NEUTRAL
SHORT,WINNER,0.8595959595974063,1,4,2,BEARISH
