opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00076678_SHORT,SHORT,76678,76679,E,2,0,0,2
OPP_00076742_LONG,LONG,76742,76743,E,1,0,2,2
OPP_00077347_LONG,LONG,77347,77348,E,2,0,1,2
OPP_00077854_LONG,LONG,77854,77855,E,2,0,1,2
OPP_00078346_SHORT,SHORT,78346,78347,E,2,0,2,3
OPP_00078519_SHORT,SHORT,78519,78520,E,1,0,3,3
OPP_00078730_SHORT,SHORT,78730,78731,E,2,-1,2,2
OPP_00078910_LONG,LONG,78910,78911,E,2,0,2,3
OPP_00079143_SHORT,SHORT,79143,79144,E,0,2,2,3
OPP_00079357_SHORT,SHORT,79357,79358,E,1,1,1,3
OPP_00079444_SHORT,SHORT,79444,79445,E,0,1,2,3
OPP_00079489_SHORT,SHORT,79489,79490,E,1,2,1,3
OPP_00079527_LONG,LONG,79527,79528,E,1,1,2,3
OPP_00079641_LONG,LONG,79641,79642,E,2,0,2,3
OPP_00079679_SHORT,SHORT,79679,79680,E,2,1,1,3
OPP_00080000_LONG,LONG,80000,80001,E,2,0,1,2
OPP_00080031_LONG,LONG,80031,80032,E,2,1,1,3
OPP_00080333_SHORT,SHORT,80333,80334,E,1,0,2,2
OPP_00080449_SHORT,SHORT,80449,80450,E,2,0,1,2
OPP_00080655_LONG,LONG,80655,80656,E,2,0,2,3
OPP_00080833_SHORT,SHORT,80833,80834,E,2,1,0,3
OPP_00081454_SHORT,SHORT,81454,81455,E,0,1,2,3
OPP_00081516_SHORT,SHORT,81516,81517,E,2,0,1,2
OPP_00081987_LONG,LONG,81987,81988,E,1,1,1,3
OPP_00081997_SHORT,SHORT,81997,81998,E,1,1,1,3
OPP_00082193_LONG,LONG,82193,82194,E,1,1,2,3
OPP_00082426_LONG,LONG,82426,82427,E,2,-1,2,2
OPP_00082564_SHORT,SHORT,82564,82565,E,1,2,1,3
OPP_00082572_LONG,LONG,82572,82573,E,2,1,1,3
