window_id,timestamp,open,high,low,close,continuation_state,reversal_state,L,S,RL,RS,entry_price,stop,target
JUN_20_26_2026,2026-06-25 10:45:00-05:00,26999.25,27065.25,26955.75,26963.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 11:00:00-05:00,26965.5,27148.0,26947.5,27129.25,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 11:15:00-05:00,27130.25,27175.75,27035.75,27066.75,ACTIVE,WAIT_RECLAIM,True,False,False,False,27066.75,26955.471023571536,27400.58692928539
JUN_20_26_2026,2026-06-25 11:30:00-05:00,27068.75,27072.25,26941.75,26954.75,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 11:45:00-05:00,26953.75,27019.5,26890.25,26985.75,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 12:00:00-05:00,26985.25,27082.5,26975.5,27052.25,IDLE,ACTIVE,False,False,False,True,27052.25,27159.5358641448,26784.035339637998
JUN_20_26_2026,2026-06-25 12:15:00-05:00,27051.5,27114.75,26977.75,27068.25,IDLE,ACTIVE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 12:30:00-05:00,27068.5,27102.0,27023.75,27039.0,IDLE,ACTIVE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 12:45:00-05:00,27039.25,27107.75,26985.0,27098.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 13:00:00-05:00,27097.5,27121.75,26982.5,27076.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 13:15:00-05:00,27076.25,27195.0,27051.25,27181.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 13:30:00-05:00,27181.0,27181.75,27043.0,27092.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 13:45:00-05:00,27093.0,27115.75,27007.0,27077.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 14:00:00-05:00,27077.5,27081.25,26964.75,26976.0,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-25 14:15:00-05:00,26974.0,27003.0,26929.75,26986.5,ACTIVE,WAIT_RECLAIM,False,True,False,False,26986.5,27083.9024833497,26694.2925499509
JUN_20_26_2026,2026-06-25 14:30:00-05:00,26986.5,26992.5,26924.25,26976.75,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
