family,context,rth_only,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
B1,C0,True,16512,5.1777986829727185,-0.2224784149686771,-1.0953051643192455,0.7420253176626168,-3673.563587962796,3681.3701460869443,0.27906976744186046,1.2675225761569746,1.4590859067047797,8413,-0.18098969507786666,0.7868584069177323,8099,-0.2655756615968273,0.6968900872855875
B1,C1,False,2145,0.6728356336260979,-0.16526658393143331,-1.126775956284153,0.8153553808304238,-354.49682253292445,368.26050240546385,0.33426573426573425,1.168811328432269,1.6634544542923506,1116,-0.2009188068093841,0.7788963051793415,1029,-0.12660003317167326,0.856175781802369
B1,C1,True,686,0.21558768070395978,-0.048962664836366736,-1.0851823239076195,0.9390608517441178,-33.58838807774758,44.66958316419189,0.3294460641399417,1.3377571195858757,1.657755224462946,360,-0.1421861390502863,0.8304485877032031,326,0.05398350300722544,1.070597112113275
B1,C2,False,7074,2.2189460476787954,0.48280857430871954,0.9078431372539935,1.7616893974819106,3415.387854659882,87.78115894960736,0.5038167938931297,1.001206765495422,2.1464759014220647,3719,0.4972363397991127,1.7896504129641693,3355,0.46681547151921954,1.7311219503688808
B1,C2,True,1866,0.5853199498117942,0.7336510045327166,2.1266666666667415,2.385377229368304,1368.992774458049,15.20942613943646,0.5418006430868167,0.9233204584380695,2.0818272514708607,983,0.7474079616979954,2.4253083804168574,883,0.7183360680735217,2.341833610745045
B1,C3,False,20122,6.309814989024773,0.0383505114784435,-1.1011838006230612,1.0468073518461238,771.6889919692401,1588.9825227112597,0.3941457111619123,1.1643194088477358,1.8257978815897542,10331,0.04415702677499671,1.0539070258976957,9791,0.03222375123651815,1.0393197488146624
B1,C3,True,5212,1.63436814048291,0.20309948009378784,-1.0704402813899752,1.2834976945007885,1058.5544902488223,83.8918400180971,0.397544128933231,1.1316635410048546,1.7119049732418379,2680,0.2396441866858015,1.3393445896096412,2532,0.16441866900903415,1.2260946156988857
B1,C4,False,37246,11.679523361555347,-0.05191739751987083,-1.1134870719776333,0.9392072524201657,-1933.715388025109,3615.488986629382,0.36887182516243355,1.153610217051682,1.7532767253230408,19522,-0.04455386602132512,0.9476449018324088,17724,-0.060027917826495164,0.9299822783228708
B1,C4,True,10478,3.285669488867984,0.10509395094706749,-1.0775549188156681,1.1400548926036873,1101.1744180233732,172.85669454218052,0.37211299866386716,1.1345341151006687,1.717960764044552,5553,0.13333539298471422,1.179791700776707,4925,0.07325136665568631,1.0963502663409326
B1,C5,False,6,0.013363028953229399,-0.47198096744860596,-1.2166802351876735,0.4690304646072762,-2.8318858046916358,4.048511985526794,0.3333333333333333,1.0169524519876978,1.6211375136753678,0,,,6,-0.47198096744860596,0.4690304646072762
B1,C5,True,2,2.0,0.09541569541581563,0.09541569541581563,1.1181507673066435,0.19083139083163125,1.6151515151514473,0.5,0.8484848484847549,2.1647241647237436,0,,,2,0.09541569541581563,1.1181507673066435
B2,C0,False,59339,18.607400439009094,-0.37398027392402744,-1.149953831948316,0.6171147333546283,-22191.615474377864,22221.452017989235,0.27797906941471884,1.2979713845067504,1.4923854981161266,30063,-0.3622751156005295,0.6277353137949292,29276,-0.3860000913403179,0.6062892996313162
B2,C0,True,16494,5.172154280338664,-0.22220426672315305,-1.0953051643192455,0.7423122623784886,-3665.0371753316863,3672.8437334558344,0.27907117739784165,1.2679216114227692,1.4587553701888334,8406,-0.1812652684850735,0.7865915055243358,8088,-0.26475288432816013,0.6976765508436888
B2,C1,False,2131,0.668444165621079,-0.15985398122811023,-1.124731182795699,0.8211381460047935,-340.6488339971029,353.35480242685617,0.33552322853120603,1.1700325994564627,1.6580615345445757,1109,-0.198325945298622,0.781454939070008,1022,-0.11810700651754513,0.8656047687383134
B2,C1,True,683,0.21464487743557512,-0.04695965029829626,-1.0851153039832129,0.9415029908533926,-32.07344115373635,43.28291649752522,0.3294289897510981,1.3380975101087729,1.626830750468546,360,-0.14928885467831357,0.8226747674498948,323,0.06709147532649083,1.0883752659138253
B2,C2,False,7060,2.2145545796737767,0.47534006515537913,0.6000000000006245,1.745391971175357,3355.9008599969766,97.82496348569022,0.501699716713881,1.0023430956225674,2.139965415729316,3716,0.48718956367922084,1.7673469654852847,3344,0.46217238079096645,1.7212199640748076
B2,C2,True,1866,0.5853199498117942,0.7336870565101106,2.1266666666667415,2.3860433504405725,1369.0600474478663,15.20942613943646,0.5418006430868167,0.9239736579964138,2.083072430861074,983,0.7474079616979954,2.4253083804168574,883,0.7184122549249566,2.3431874597952174
B2,C3,False,20049,6.28692380056444,0.03737469411440489,-1.1015634771732297,1.0456041060663597,749.3252422997036,1591.4562674516276,0.39328644820190534,1.1638639012659286,1.820546226458779,10298,0.04286867092784039,1.052305653319327,9751,0.0315725227243158,1.0385260306640132
B2,C3,True,5207,1.6328002508623394,0.2036240867665679,-1.0703944516688357,1.2843736960116143,1060.270619793519,83.47533595305566,0.3975417706932975,1.1322289910852257,1.7121930321345964,2676,0.24144229904978173,1.3423613006857755,2531,0.1636392838942328,1.224939544756478
B2,C4,False,37152,11.650047036688617,-0.05416747220833674,-1.1139649122806738,0.9366011306735156,-2012.4299274841264,3591.8980407410254,0.36775947459086994,1.1550218255735625,1.749199731795397,19476,-0.047320225699429515,0.9444563741233649,17676,-0.06171199432914896,0.9279978546301848
B2,C4,True,10467,3.282220131702728,0.10470267052164972,-1.0775549188156681,1.1394985037775123,1095.9228523501076,170.56364836328925,0.3719308302283367,1.1355758779860827,1.7170639637930085,5550,0.13223549169550547,1.1781767627733388,4917,0.07362535559081808,1.096868741252416
B2,C5,False,6,0.013363028953229399,-0.47198096744860596,-1.2166802351876735,0.4690304646072762,-2.8318858046916358,4.048511985526794,0.3333333333333333,1.0169524519876978,1.6211375136753678,0,,,6,-0.47198096744860596,0.4690304646072762
B2,C5,True,2,2.0,0.09541569541581563,0.09541569541581563,1.1181507673066435,0.19083139083163125,1.6151515151514473,0.5,0.8484848484847549,2.1647241647237436,0,,,2,0.09541569541581563,1.1181507673066435
C1,C0,False,78785,24.705236751332706,-0.36124422403740275,-1.1507892293407451,0.6286857164666959,-28460.626190786774,28475.180047509217,0.2841023037380212,1.3081891429011911,1.4713900259012012,39552,-0.3615727446781923,0.6285855853724053,39233,-0.36091303222478305,0.6287867914506526
C1,C0,True,21454,6.72750078394481,-0.1980986104631211,-1.0939814814814752,0.7685179816104957,-4250.0075888758,4282.903988601862,0.2867064416891955,1.2726143766450715,1.480490116289685,10761,-0.1911691854293915,0.7760425725545742,10693,-0.20507210179277272,0.7609842827341095
C1,C1,False,769,0.24167190446260214,0.13326510291237373,-1.0860625331213407,1.174257607472635,102.48086413961539,48.16943516477223,0.42522756827048114,1.0810860299324474,1.854739733358069,402,0.10134486225068376,1.1298546372933251,367,0.16822950821482435,1.225034061239527
C1,C1,True,215,0.06756756756756757,0.020413696787414115,-1.0811594202898505,1.026282140002161,4.388944809294035,20.735605846391234,0.35348837209302325,1.215954427515575,1.6756176927310624,120,0.04185271735159845,1.0537677002794241,95,-0.006667171293660747,0.9913925885029369
C1,C2,False,9015,2.8269049858889934,0.7141827116569964,1.9476190476190476,2.2941500498807503,6438.357145587823,74.46833580945514,0.5740432612312812,0.9058760977043211,2.250216313169954,4654,0.6931427735781245,2.2357585713259676,4361,0.7366362479603831,2.358614766514402
C1,C2,True,2454,0.7695202257761053,0.9203368413614147,2.243443917851442,2.948228422554622,2258.506608700912,18.25650994272246,0.5982070089649552,0.8387973270691317,2.1909220042283644,1306,0.9054495315579968,2.8815500190925887,1148,0.9372731014687868,3.027180058546012
C1,C3,False,25143,7.8842897460018815,-0.3236570376050701,-1.14320987654321,0.6606015765024241,-8137.708896504277,8137.49892479023,0.2918903869864376,1.3264041377360278,1.4732548657733264,12754,-0.33418874654210945,0.6518542646176803,12389,-0.3128150474700308,0.6697279798729172
C1,C3,True,6480,2.0319849482596424,-0.16865516965762245,-1.092377701934022,0.8002601912054362,-1092.8854993813934,1111.8709402845534,0.2927469135802469,1.2544399736052652,1.4139067713782698,3305,-0.15249827966308038,0.8190045953057964,3175,-0.18547360160469692,0.7808339909030829
C1,C4,False,23210,7.278143618689244,0.6175243390924672,1.8233333333338257,2.024379334530949,14332.739910336164,459.61628252638366,0.5647565704437743,0.9176886409793626,2.217727260190223,12255,0.5763576062925476,1.9275763093942575,10955,0.6635762159033312,2.139973581257213
C1,C4,True,6211,1.9476324866729382,0.8541256949387581,2.1616666666666258,2.7014626331155966,5304.974691264627,45.810259237506216,0.5886330703590404,0.8997658441559477,2.2114800928065605,3376,0.80307726926769,2.5381330031075895,2835,0.9149156367608131,2.913891789824636
C1,C5,False,8,0.017817371937639197,-0.8477057928868681,-1.2118991556308791,0.2566724268587217,-6.781646343094945,6.274238935689157,0.125,1.0964707239790388,1.2330330666389644,0,,,8,-0.8477057928868681,0.2566724268587217
C1,C5,True,3,3.0,-0.3645527035679721,-1.470724637681199,0.6497978198538588,-1.0936581107039163,3.122933473022717,0.3333333333333333,0.7535766253420672,1.477818520458838,0,,,3,-0.3645527035679721,0.6497978198538588
D1,C0,False,120104,37.661962997804956,-0.4215779601798384,-1.158748778103635,0.5829410787118042,-50633.19932943931,50653.01224975012,0.27465363351761807,1.3165838615786238,1.514166333405905,61022,-0.4095011784281506,0.5942384278445506,59082,-0.43405129175377766,0.5713107061917345
D1,C0,True,30950,9.705236751332706,-0.24400510683504634,-1.0978902953586498,0.7210158580515933,-7551.958056544684,7554.110298050991,0.27492730210016153,1.300446012904886,1.467747384567164,15877,-0.21632940944953122,0.7509319948885712,15073,-0.2731570372662693,0.6899493745391462
D1,C1,False,13317,4.175917215428034,-0.32163631618752164,-1.138095238095238,0.6642546366474938,-4283.230822669226,4289.6261495322915,0.2921078320943155,1.2346725811145727,1.511839654563534,6764,-0.307784448193168,0.679943217142872,6553,-0.3359342003800759,0.6479340201934858
D1,C1,True,3672,1.1521807342328207,-0.12948624903679248,-1.0908277404921878,0.8439238759583549,-475.473506463102,494.28395565830436,0.3033769063180828,1.2321187435170684,1.5321413210983776,1891,-0.13271213240984148,0.8417527869475195,1781,-0.12606112525328006,0.846281233767038
D1,C2,False,19743,6.190968955785513,0.42409961862945383,-1.030986452966992,1.6383826715052683,8372.998770601307,532.7242064309469,0.4943524287089095,1.0248381822922816,2.157237899144019,10124,0.447707890383228,1.679479552304478,9619,0.39925190647276304,1.5958484723180877
D1,C2,True,4696,1.4725619316400125,0.698920779281511,2.0562841530054294,2.2865512867910516,3282.131979505976,21.22968536804404,0.5353492333901193,0.9299298212144301,2.0738800265940314,2411,0.7440049100010557,2.4030607816028584,2285,0.6513506089686786,2.1695046912661318
D1,C3,False,42404,13.296958294136093,-0.023890299876629526,-1.1102511880516215,0.972136668033467,-1013.0442759685984,5390.545389061546,0.38687387982265825,1.1885157744438988,1.852132383017898,21633,-0.007015692945329453,0.9917654556325799,20771,-0.041465205839020115,0.951955710463803
D1,C3,True,9607,3.0125431169645656,0.19272074517067075,-1.0727598566308205,1.2664033362121259,1851.468198854634,166.224114540878,0.39741854897470597,1.1363528073516647,1.7524298359257604,4965,0.2016127048721926,1.2794400866448943,4642,0.18321006444726373,1.252536194260473
D1,C4,False,83778,26.27093132643462,-0.1927351618090989,-1.132355338223334,0.7903349471958259,-16146.966386042686,16632.273774761237,0.3370455250781828,1.20131521577298,1.68351253406131,43925,-0.1837097597263364,0.7997877294063898,39853,-0.20268273881673546,0.7799562155587788
D1,C4,True,21880,6.861084979617435,-0.008506660185679745,-1.0853838065194428,0.9892757743437598,-186.12572486267283,1182.6180362318153,0.341636197440585,1.2064656471689656,1.6581393742917667,11698,0.004713155823430356,1.0059567709087274,10182,-0.02369477722305648,0.9702142865907852
D1,C5,False,14,0.031180400890868598,-1.181483158029113,-1.2749018293678147,0.2936554740658796,-16.54076421240758,17.55933605451104,0.21428571428571427,1.6611573641676507,1.3784926458477031,0,,,14,-1.181483158029113,0.2936554740658796
D1,C5,True,7,0.015625,-0.34168191692070154,-1.3682539682539683,0.6533561097589101,-2.391773418444911,3.3343462051353425,0.2857142857142857,1.2462876485912608,1.4057572364230604,0,,,7,-0.34168191692070154,0.6533561097589101
E1,C0,False,4002,1.2549388523047977,-0.3433913015927374,-1.127073552425671,0.6378101378376614,-1374.251988974135,1375.5463538213962,0.2741129435282359,1.494901571601396,1.6582479451317647,2051,-0.3522476104172072,0.6329050922730022,1951,-0.33408105587311276,0.6430960583404068
E1,C0,True,940,0.2956904687008493,-0.21749767793200234,-1.0910574902573391,0.7476865206484796,-204.4478172560822,204.01895894823423,0.27872340425531916,1.4653834819616165,1.66082555291081,492,-0.2452827645651263,0.7214612651482778,448,-0.18698369886169663,0.77782245539344
E1,C1,False,158,0.05067350865939705,-0.49968729042937243,-1.1724008993018686,0.5023940924363169,-78.95059188784084,82.8409622582114,0.22784810126582278,1.3165387538462963,1.377925511975354,87,-0.6587013655972386,0.3873840979512023,71,-0.3048390574771984,0.6676156575090593
E1,C1,True,51,0.016798418972332016,-0.40665245438328773,-1.1031111111111112,0.5693895864966015,-20.739275173547675,22.3370529513256,0.23529411764705882,1.2295384257541015,1.2201925317213411,28,-0.5011232929176892,0.49362310016041355,23,-0.2916444770370596,0.6720372034698727
E1,C2,False,800,0.25094102885821834,0.30409225197812373,-1.061480715205207,1.4343371203542963,243.273801582499,19.532092278256584,0.44875,1.2403343926935864,2.2444167130646178,419,0.258094504953332,1.3548253688658962,381,0.354677700805913,1.5292463503847673
E1,C2,True,127,0.04074430542188001,0.7983463711117583,2.2209621993127566,2.552272162446619,101.3899891311933,6.58066868219114,0.5590551181102362,1.1450631313715811,2.3032598062608045,70,0.6938977575078695,2.2714353015222564,57,0.9266165983446039,2.9479665981403294
E1,C3,False,1701,0.5335633626097867,-0.03161175723131443,-1.0941449275362287,0.9617892747049513,-53.771599050465845,127.49980302508385,0.3586125808348031,1.4092652352482866,1.9455484430858139,886,-0.07564619978562923,0.911153362614729,815,0.01625881467435783,1.0202962395054964
E1,C3,True,332,0.10583359897991712,0.17242111241284355,-1.0627649935608394,1.2396675359540956,57.24380932106406,14.731936485406013,0.3825301204819277,1.400791172930926,1.8134430314380134,180,0.021937491451881255,1.0283857132545065,152,0.3506254003929305,1.5343596093413607
E1,C4,False,2577,0.8083437892095358,-0.08027315834771524,-1.1111567419575765,0.90566565343803,-206.8639290620622,287.4263354606459,0.3492433061699651,1.2955595080959796,1.8769088843329327,1355,-0.12773103775738062,0.8539813145641934,1222,-0.027650059656965143,0.9664659150755387
E1,C4,True,638,0.20081838212149827,0.10220260250749333,-1.0801385644176977,1.134769489259709,65.20526039978074,26.212761726996092,0.3714733542319749,1.2431376147441773,2.0269894976658027,346,-0.019481570601223405,0.975911184532019,292,0.24639001310891795,1.3526685057499281
E1,C5,False,2,0.004464285714285714,-0.07459595959596066,-0.07459595959596066,0.9414167856576225,-0.14919191919192132,0.0,0.5,1.3333333333333333,3.647474747474795,0,,,2,-0.07459595959596066,0.9414167856576225
E1,C5,True,2,0.0045871559633027525,1.9976262626263346,1.9976262626263346,inf,3.995252525252669,0.0,1.0,0.3111111111110608,3.9808080808079023,0,,,2,1.9976262626263346,inf
F1,C0,False,7827,2.454374412041392,-0.2664362383969574,-1.113249651324956,0.7075443330359208,-2085.3964379329855,2094.4245862545654,0.2941101315957583,1.2372572555054635,1.5401968647743443,3968,-0.28487774837639374,0.6916757922342139,3859,-0.2474738358060262,0.7243375210039876
F1,C0,True,2249,0.7059008160703076,-0.15044263298167157,-1.0790267639902542,0.8180455798714045,-338.3454815757794,347.5718056218295,0.28990662516674076,1.2512937553507557,1.4698187639412656,1150,-0.17633987146879834,0.7907796772151954,1099,-0.1233436118167983,0.8477320476178604
F1,C1,False,533,0.16771554436752675,-0.25151956743959475,-1.1118457300275437,0.7194350506706861,-134.059929445304,132.33815166752638,0.29080675422138835,1.1940685374620157,1.4700416829107057,275,-0.3366716571933113,0.6437471539948413,258,-0.16075668107419913,0.8096912954706866
