setup_id,setup_timestamp,direction,score,status,bos_timestamp,setup_to_bos_bars,opposite_bos_timestamp
S00210,2024-02-23 09:40:00-06:00,Short,100,Immediate same-bar,2024-02-23 09:40:00-06:00,0.0,
S00211,2024-02-26 05:50:00-06:00,Short,75,Immediate same-bar,2024-02-26 05:50:00-06:00,0.0,
S00212,2024-02-26 07:10:00-06:00,Long,75,Immediate same-bar,2024-02-26 07:10:00-06:00,0.0,
S00213,2024-02-26 08:45:00-06:00,Long,75,Never within expiry,,,
S00214,2024-02-26 14:55:00-06:00,Short,75,Immediate same-bar,2024-02-26 14:55:00-06:00,0.0,
S00215,2024-02-27 06:10:00-06:00,Long,90,Immediate same-bar,2024-02-27 06:10:00-06:00,0.0,
S00216,2024-02-27 07:15:00-06:00,Short,90,Immediate same-bar,2024-02-27 07:15:00-06:00,0.0,
S00217,2024-02-27 09:15:00-06:00,Long,90,Immediate same-bar,2024-02-27 09:15:00-06:00,0.0,
S00218,2024-02-27 10:20:00-06:00,Long,85,Opposite BOS first,,,2024-02-27 10:25:00-06:00
S00219,2024-02-27 11:35:00-06:00,Short,75,Immediate same-bar,2024-02-27 11:35:00-06:00,0.0,
S00220,2024-02-27 19:15:00-06:00,Short,75,Opposite BOS first,,,2024-02-27 19:20:00-06:00
S00221,2024-02-27 21:45:00-06:00,Long,90,Immediate same-bar,2024-02-27 21:45:00-06:00,0.0,
S00222,2024-02-27 22:30:00-06:00,Long,75,Opposite BOS first,,,2024-02-27 22:35:00-06:00
S00223,2024-02-27 22:35:00-06:00,Short,75,Immediate same-bar,2024-02-27 22:35:00-06:00,0.0,
S00224,2024-02-27 23:25:00-06:00,Short,90,Immediate same-bar,2024-02-27 23:25:00-06:00,0.0,
S00225,2024-02-28 07:30:00-06:00,Short,75,Never within expiry,,,
S00226,2024-02-28 08:45:00-06:00,Short,90,Immediate same-bar,2024-02-28 08:45:00-06:00,0.0,
S00227,2024-02-28 10:00:00-06:00,Long,75,Immediate same-bar,2024-02-28 10:00:00-06:00,0.0,
S00228,2024-02-28 14:30:00-06:00,Long,85,Immediate same-bar,2024-02-28 14:30:00-06:00,0.0,
S00229,2024-02-28 15:00:00-06:00,Long,85,Opposite BOS first,,,2024-02-28 15:05:00-06:00
S00230,2024-02-28 15:05:00-06:00,Short,75,Immediate same-bar,2024-02-28 15:05:00-06:00,0.0,
S00231,2024-02-29 06:40:00-06:00,Long,75,Never within expiry,,,
S00232,2024-02-29 13:25:00-06:00,Long,85,Opposite BOS first,,,2024-02-29 13:40:00-06:00
S00233,2024-02-29 13:40:00-06:00,Short,75,Immediate same-bar,2024-02-29 13:40:00-06:00,0.0,
S00234,2024-02-29 14:30:00-06:00,Short,85,Opposite BOS first,,,2024-02-29 14:45:00-06:00
S00235,2024-02-29 14:45:00-06:00,Long,100,Immediate same-bar,2024-02-29 14:45:00-06:00,0.0,
S00236,2024-02-29 22:10:00-06:00,Long,75,Opposite BOS first,,,2024-02-29 22:20:00-06:00
S00237,2024-02-29 22:20:00-06:00,Short,90,Immediate same-bar,2024-02-29 22:20:00-06:00,0.0,
