trade_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,same_bar_setup_bos,confirm_equals_entry,confirm_to_entry_bars,setup_not_after_bos,retest_after_bos,confirm_after_retest,event_order_pass,bos_equals_retest,retest_equals_confirm,setup_equals_bos_equals_retest,bos_equals_retest_equals_confirm
A0054,Short,2024-03-04 03:25:00-06:00,2024-03-04 03:25:00-06:00,2024-03-04 03:30:00-06:00,2024-03-04 03:35:00-06:00,2024-03-04 03:35:00-06:00,2024-03-04 04:35:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0055,Long,2024-03-04 05:55:00-06:00,2024-03-04 05:55:00-06:00,2024-03-04 06:00:00-06:00,2024-03-04 06:10:00-06:00,2024-03-04 06:10:00-06:00,2024-03-04 06:55:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0056,Short,2024-03-04 14:45:00-06:00,2024-03-04 14:45:00-06:00,2024-03-04 14:50:00-06:00,2024-03-04 14:55:00-06:00,2024-03-04 14:55:00-06:00,2024-03-04 15:55:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0057,Short,2024-03-05 13:40:00-06:00,2024-03-05 13:40:00-06:00,2024-03-05 14:00:00-06:00,2024-03-05 14:05:00-06:00,2024-03-05 14:05:00-06:00,2024-03-05 14:45:00-06:00,0,4,1,True,True,0,True,True,True,True,False,False,False,False
A0058,Long,2024-03-05 14:45:00-06:00,2024-03-05 14:45:00-06:00,2024-03-05 14:50:00-06:00,2024-03-05 14:55:00-06:00,2024-03-05 14:55:00-06:00,2024-03-05 15:55:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0059,Long,2024-03-06 21:40:00-06:00,2024-03-06 21:40:00-06:00,2024-03-06 21:45:00-06:00,2024-03-06 21:50:00-06:00,2024-03-06 21:50:00-06:00,2024-03-06 22:50:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0060,Short,2024-03-07 13:55:00-06:00,2024-03-07 13:55:00-06:00,2024-03-07 14:40:00-06:00,2024-03-07 14:45:00-06:00,2024-03-07 14:45:00-06:00,2024-03-07 14:55:00-06:00,0,9,1,True,True,0,True,True,True,True,False,False,False,False
A0061,Long,2024-03-08 01:35:00-06:00,2024-03-08 01:35:00-06:00,2024-03-08 01:40:00-06:00,2024-03-08 01:50:00-06:00,2024-03-08 01:50:00-06:00,2024-03-08 02:10:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0062,Long,2024-03-08 07:30:00-06:00,2024-03-08 07:30:00-06:00,2024-03-08 07:35:00-06:00,2024-03-08 07:40:00-06:00,2024-03-08 07:40:00-06:00,2024-03-08 08:25:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0063,Long,2024-03-08 08:55:00-06:00,2024-03-08 08:55:00-06:00,2024-03-08 09:35:00-06:00,2024-03-08 09:40:00-06:00,2024-03-08 09:40:00-06:00,2024-03-08 10:00:00-06:00,0,8,1,True,True,0,True,True,True,True,False,False,False,False
A0064,Short,2024-03-08 10:05:00-06:00,2024-03-08 10:05:00-06:00,2024-03-08 10:10:00-06:00,2024-03-08 10:15:00-06:00,2024-03-08 10:15:00-06:00,2024-03-08 11:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0065,Short,2024-03-11 03:00:00-05:00,2024-03-11 03:00:00-05:00,2024-03-11 03:05:00-05:00,2024-03-11 03:10:00-05:00,2024-03-11 03:10:00-05:00,2024-03-11 03:20:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0066,Short,2024-03-11 06:45:00-05:00,2024-03-11 06:45:00-05:00,2024-03-11 06:50:00-05:00,2024-03-11 07:00:00-05:00,2024-03-11 07:00:00-05:00,2024-03-11 08:00:00-05:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0067,Long,2024-03-11 09:50:00-05:00,2024-03-11 09:50:00-05:00,2024-03-11 09:55:00-05:00,2024-03-11 10:00:00-05:00,2024-03-11 10:00:00-05:00,2024-03-11 10:10:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0068,Long,2024-03-11 15:30:00-05:00,2024-03-11 15:30:00-05:00,2024-03-11 15:50:00-05:00,2024-03-11 15:55:00-05:00,2024-03-11 15:55:00-05:00,2024-03-11 17:15:00-05:00,0,4,1,True,True,0,True,True,True,True,False,False,False,False
A0069,Short,2024-03-14 14:05:00-05:00,2024-03-14 14:05:00-05:00,2024-03-14 14:10:00-05:00,2024-03-14 14:20:00-05:00,2024-03-14 14:20:00-05:00,2024-03-14 14:45:00-05:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0070,Long,2024-03-15 02:55:00-05:00,2024-03-15 03:05:00-05:00,2024-03-15 03:10:00-05:00,2024-03-15 03:20:00-05:00,2024-03-15 03:20:00-05:00,2024-03-15 04:05:00-05:00,2,1,2,False,True,0,True,True,True,True,False,False,False,False
A0071,Long,2024-03-19 10:30:00-05:00,2024-03-19 10:30:00-05:00,2024-03-19 10:35:00-05:00,2024-03-19 10:45:00-05:00,2024-03-19 10:45:00-05:00,2024-03-19 11:35:00-05:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0072,Long,2024-03-20 05:30:00-05:00,2024-03-20 05:30:00-05:00,2024-03-20 05:35:00-05:00,2024-03-20 05:40:00-05:00,2024-03-20 05:40:00-05:00,2024-03-20 06:20:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0073,Short,2024-03-20 08:35:00-05:00,2024-03-20 08:35:00-05:00,2024-03-20 08:40:00-05:00,2024-03-20 08:55:00-05:00,2024-03-20 08:55:00-05:00,2024-03-20 09:20:00-05:00,0,1,3,True,True,0,True,True,True,True,False,False,False,False
A0074,Long,2024-03-20 12:40:00-05:00,2024-03-20 13:00:00-05:00,2024-03-20 13:35:00-05:00,2024-03-20 13:40:00-05:00,2024-03-20 13:40:00-05:00,2024-03-20 14:40:00-05:00,4,7,1,False,True,0,True,True,True,True,False,False,False,False
A0075,Short,2024-03-21 20:35:00-05:00,2024-03-21 20:35:00-05:00,2024-03-21 20:40:00-05:00,2024-03-21 20:45:00-05:00,2024-03-21 20:45:00-05:00,2024-03-21 21:35:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0076,Short,2024-03-22 01:30:00-05:00,2024-03-22 01:30:00-05:00,2024-03-22 01:45:00-05:00,2024-03-22 01:50:00-05:00,2024-03-22 01:50:00-05:00,2024-03-22 02:10:00-05:00,0,3,1,True,True,0,True,True,True,True,False,False,False,False
A0077,Long,2024-03-27 19:10:00-05:00,2024-03-27 19:10:00-05:00,2024-03-27 19:15:00-05:00,2024-03-27 19:20:00-05:00,2024-03-27 19:20:00-05:00,2024-03-27 20:20:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0078,Long,2024-03-28 13:55:00-05:00,2024-03-28 13:55:00-05:00,2024-03-28 14:05:00-05:00,2024-03-28 14:15:00-05:00,2024-03-28 14:15:00-05:00,2024-03-28 14:50:00-05:00,0,2,2,True,True,0,True,True,True,True,False,False,False,False
A0079,Long,2024-03-31 23:45:00-05:00,2024-03-31 23:45:00-05:00,2024-03-31 23:50:00-05:00,2024-03-31 23:55:00-05:00,2024-03-31 23:55:00-05:00,2024-04-01 00:15:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0080,Short,2024-04-02 00:15:00-05:00,2024-04-02 00:15:00-05:00,2024-04-02 00:45:00-05:00,2024-04-02 00:50:00-05:00,2024-04-02 00:50:00-05:00,2024-04-02 01:00:00-05:00,0,6,1,True,True,0,True,True,True,True,False,False,False,False
A0081,Long,2024-04-02 22:40:00-05:00,2024-04-02 22:40:00-05:00,2024-04-02 22:45:00-05:00,2024-04-02 22:50:00-05:00,2024-04-02 22:50:00-05:00,2024-04-02 23:15:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0082,Short,2024-04-03 07:25:00-05:00,2024-04-03 07:25:00-05:00,2024-04-03 08:05:00-05:00,2024-04-03 08:10:00-05:00,2024-04-03 08:10:00-05:00,2024-04-03 08:35:00-05:00,0,8,1,True,True,0,True,True,True,True,False,False,False,False
A0083,Long,2024-04-04 03:05:00-05:00,2024-04-04 03:05:00-05:00,2024-04-04 03:10:00-05:00,2024-04-04 03:15:00-05:00,2024-04-04 03:15:00-05:00,2024-04-04 04:05:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0084,Long,2024-04-05 08:50:00-05:00,2024-04-05 08:50:00-05:00,2024-04-05 09:00:00-05:00,2024-04-05 09:10:00-05:00,2024-04-05 09:10:00-05:00,2024-04-05 09:25:00-05:00,0,2,2,True,True,0,True,True,True,True,False,False,False,False
A0085,Short,2024-04-09 02:35:00-05:00,2024-04-09 02:35:00-05:00,2024-04-09 03:20:00-05:00,2024-04-09 03:30:00-05:00,2024-04-09 03:30:00-05:00,2024-04-09 04:15:00-05:00,0,9,2,True,True,0,True,True,True,True,False,False,False,False
A0086,Short,2024-04-09 09:30:00-05:00,2024-04-09 09:30:00-05:00,2024-04-09 10:15:00-05:00,2024-04-09 10:20:00-05:00,2024-04-09 10:20:00-05:00,2024-04-09 11:10:00-05:00,0,9,1,True,True,0,True,True,True,True,False,False,False,False
A0087,Long,2024-04-10 20:50:00-05:00,2024-04-10 20:50:00-05:00,2024-04-10 20:55:00-05:00,2024-04-10 21:00:00-05:00,2024-04-10 21:00:00-05:00,2024-04-10 22:00:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0088,Short,2024-04-12 02:20:00-05:00,2024-04-12 02:20:00-05:00,2024-04-12 02:25:00-05:00,2024-04-12 02:30:00-05:00,2024-04-12 02:30:00-05:00,2024-04-12 03:30:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0089,Long,2024-04-17 19:15:00-05:00,2024-04-17 19:15:00-05:00,2024-04-17 19:20:00-05:00,2024-04-17 19:25:00-05:00,2024-04-17 19:25:00-05:00,2024-04-17 20:25:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0090,Long,2024-04-18 00:30:00-05:00,2024-04-18 00:30:00-05:00,2024-04-18 00:35:00-05:00,2024-04-18 00:40:00-05:00,2024-04-18 00:40:00-05:00,2024-04-18 01:40:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0091,Short,2024-04-18 07:10:00-05:00,2024-04-18 07:10:00-05:00,2024-04-18 07:15:00-05:00,2024-04-18 07:20:00-05:00,2024-04-18 07:20:00-05:00,2024-04-18 07:30:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0092,Short,2024-04-19 13:00:00-05:00,2024-04-19 13:00:00-05:00,2024-04-19 13:05:00-05:00,2024-04-19 13:10:00-05:00,2024-04-19 13:10:00-05:00,2024-04-19 13:45:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0093,Long,2024-04-23 12:40:00-05:00,2024-04-23 12:40:00-05:00,2024-04-23 12:45:00-05:00,2024-04-23 12:50:00-05:00,2024-04-23 12:50:00-05:00,2024-04-23 13:50:00-05:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0094,Short,2024-04-24 09:35:00-05:00,2024-04-24 09:35:00-05:00,2024-04-24 09:40:00-05:00,2024-04-24 09:50:00-05:00,2024-04-24 09:50:00-05:00,2024-04-24 10:45:00-05:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
