event_family,vol_measure,transition,compression_duration,shock_percentile_bin,transition_direction,horizon,orientation,N,sample_tier,mean_signed_return_atr,median_signed_return_atr,positive_signed_rate,mean_abs_return_atr,median_abs_return_atr,mfe_atr,mae_atr,future_rv,effect_value,uplift_pct_vs_baseline,standard_error,ci95_low,ci95_high,era1,era2,era3,same_sign_across_eras,replicated,raw_p_value,fdr_q_value,fdr_survivor_5pct
COMPRESSION,ATR_24,ENTER_LOW,1-3,n/a,UP,1,n/a,1389,STRONG_SAMPLE,0.00705309329163269,0.0,0.4866810655147588,0.4040188457345921,0.30657523345384513,0.4126449894608668,0.4089956156837422,,0.4040188457345921,-78.4485570437418,0.010407109578827468,0.38387682042927507,0.42406472606247103,0.4137658103844851,0.3964601923606485,0.403875380390929,True,False,0.0,0.0,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,95-99,UP,1,n/a,5378,STRONG_SAMPLE,-0.009423460862591907,-0.024294646885192422,0.46671625139457046,0.6865549032405162,0.45958892833118525,0.6645496679436472,0.6428195386162148,,0.6865549032405162,-63.37733006829267,0.010978000011789517,0.6669706982425871,0.7078850741465419,0.6473849091739745,0.7465109693738244,0.6596450862221056,True,False,0.0,0.0,True
REGIME_TRANSITION,ATR_24,NORMAL->HIGH,n/a,n/a,DOWN,1,n/a,1020,STRONG_SAMPLE,-0.03129466158378643,0.05409283593810416,0.5284313725490196,0.927007444933368,0.6614958269665179,0.8815500018125043,0.9670003508241253,,0.927007444933368,-50.55095008456041,0.029715065518310033,0.8684011135326059,0.987911431339446,0.906395225608288,0.8606321434092749,1.043095107649351,True,False,1.1867536546842601e-213,2.915730961939777e-213,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,99+,DOWN,1,n/a,1147,STRONG_SAMPLE,-0.0705908991444943,0.06711569120016615,0.5204882301656495,1.1524231480898708,0.7995313106793379,1.0455830618725699,1.237206251505121,,1.1524231480898708,-38.5266751792914,0.03936583643027288,1.0796499978895389,1.2321220776907744,1.1042414356798245,1.2141190590854931,1.1353160001763067,True,False,2.1775866601075856e-188,4.737497695653908e-188,True
COMPRESSION,RANGE_RATIO,ENTER_LOW,1-3,n/a,NEUTRAL,1,n/a,700,ANALYZABLE,-0.019498322116651853,0.0,0.48714285714285716,0.36566023268846953,0.26641646880189235,0.32879808644419206,0.3636769986544082,,0.36566023268846953,-80.49470778564991,0.01764803783953845,0.3323264645928122,0.4037318869897023,0.38190308447788174,0.3548142073615689,0.3258558759535807,True,False,2.3060720926170116e-95,3.821107827882839e-95,True
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,n/a,n/a,UP,1,n/a,881,ANALYZABLE,-0.018438225197663107,-0.01350022088111833,0.4790011350737798,0.34181490927822966,0.23996743960383893,0.3236889463639366,0.33812892237273146,,0.34181490927822966,-81.76668094401813,0.0127292019846511,0.31774167797729025,0.3686668023507791,0.327652504120689,0.3541755546390393,0.34110954576279984,True,False,7.819667822625503e-159,1.5264420064714166e-158,True
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,0,n/a,UP,1,n/a,2193,STRONG_SAMPLE,-0.00978078114206183,-0.04288838918379397,0.4523483812129503,0.49636965040635905,0.3565514710125762,0.5275177548430694,0.4994061728185046,,0.49636965040635905,-73.52231877574876,0.011535435827616503,0.47524232923873855,0.5183617278156525,0.5268137379088127,0.4842737076443011,0.4721779512356276,True,False,0.0,0.0,True
REGIME_TRANSITION,ATR_24,NORMAL->LOW,n/a,n/a,UP,1,n/a,940,ANALYZABLE,-0.014711414875001567,0.0,0.46382978723404256,0.36344809322621713,0.27226255275497924,0.36132328231223315,0.38471411448539755,,0.36344809322621713,-80.61270920547314,0.01173979207046011,0.3416338537892628,0.38803353782764677,0.37351271627125077,0.35628394828580107,0.362768849510468,True,False,1.9433910846727396e-210,4.69378355196382e-210,True
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,0,n/a,DOWN,1,n/a,2876,STRONG_SAMPLE,-0.013731852827147837,0.025748176114525054,0.5069541029207232,0.4334190804563767,0.32212723028151624,0.41772013636875777,0.46334927967927814,,0.4334190804563767,-76.88027009822792,0.007914717414254431,0.41879524178985594,0.4496191413195473,0.44694052971215875,0.44206162441279434,0.4082744989031283,True,False,0.0,0.0,True
REGIME_TRANSITION,ATR_24,LOW->NORMAL,n/a,n/a,DOWN,1,n/a,934,ANALYZABLE,-0.016029025560530936,0.03156769361409471,0.5085653104925053,0.8714751228557032,0.6274591585196412,0.802261908217761,0.9253447495176063,,0.8714751228557032,-53.51319227727127,0.03176875259650334,0.8126386284732114,0.9332262141542367,0.8061722782979374,0.8869034700058952,0.9240647278555546,True,False,1.1445178139726352e-165,2.3133870707957523e-165,True
