signal_i,atr,orig_dir,family,decision,direction,trigger_i,entry_i,delay_bars,reason,invalidation,chase_atr,level_name
1707,0.32142857142857145,LONG,E2,TAKE,SHORT,1708,1709,2,E2_BREAK_ACCEPT_LOW_SHORT,5994.25,3.1111111111111107,lo_5
1763,0.35714285714285715,LONG,E2,TAKE,LONG,1763,1764,1,E2_BREAK_ACCEPT_HIGH_LONG,5993.25,3.5,hi_5
1814,0.44642857142857145,SHORT,E2,TAKE,SHORT,1814,1815,1,E2_BREAK_ACCEPT_LOW_SHORT,5993.25,1.1199999999999999,lo_5
1920,0.8035714285714286,SHORT,E2,TAKE,SHORT,1921,1922,2,E2_BREAK_ACCEPT_LOW_SHORT,5990.25,0.9333333333333333,lo_5
2141,0.42857142857142855,SHORT,E2,TAKE,LONG,2143,2144,3,E2_BREAK_ACCEPT_HIGH_LONG,5983.75,0.5833333333333334,hi_5
2152,0.4107142857142857,LONG,E2,TAKE,SHORT,2153,2154,2,E2_BREAK_ACCEPT_LOW_SHORT,5984.25,3.6521739130434785,lo_5
2204,0.7678571428571429,SHORT,E2,TAKE,SHORT,2207,2208,4,E2_BREAK_ACCEPT_LOW_SHORT,5988.0,2.9302325581395348,lo_5
2293,2.5,SHORT,E2,TAKE,SHORT,2293,2294,1,E2_BREAK_ACCEPT_LOW_SHORT,5997.0,0.9,lo_5
2325,3.107142857142857,LONG,E2,TAKE,LONG,2325,2326,1,E2_BREAK_ACCEPT_HIGH_LONG,5995.75,0.8045977011494253,hi_5
2353,2.0714285714285716,SHORT,E2,TAKE,SHORT,2355,2356,3,E2_BREAK_ACCEPT_LOW_SHORT,5991.5,1.3275862068965516,lo_5
2364,2.25,LONG,E2,TAKE,LONG,2366,2367,3,E2_BREAK_ACCEPT_HIGH_LONG,5992.25,0.8888888888888888,hi_5
2413,1.3035714285714286,LONG,E2,TAKE,LONG,2416,2417,4,E2_BREAK_ACCEPT_HIGH_LONG,5995.5,1.726027397260274,hi_5
2498,1.0535714285714286,LONG,E2,TAKE,LONG,2498,2499,1,E2_BREAK_ACCEPT_HIGH_LONG,5995.25,0.711864406779661,hi_5
2585,0.9285714285714286,LONG,E2,TAKE,SHORT,2586,2587,2,E2_BREAK_ACCEPT_LOW_SHORT,5996.0,0.8076923076923077,lo_5
2624,1.2678571428571428,LONG,E2,TAKE,LONG,2625,2626,2,E2_BREAK_ACCEPT_HIGH_LONG,5999.75,0.9859154929577465,hi_5
2635,1.375,SHORT,E2,TAKE,SHORT,2635,2636,1,E2_BREAK_ACCEPT_LOW_SHORT,5994.5,0.36363636363636365,lo_5
2661,0.9821428571428571,LONG,E2,TAKE,LONG,2663,2664,3,E2_BREAK_ACCEPT_HIGH_LONG,5998.5,0.7636363636363637,hi_5
2789,0.23214285714285715,SHORT,E2,TAKE,SHORT,2789,2790,1,E2_BREAK_ACCEPT_LOW_SHORT,5994.25,2.1538461538461537,lo_5
2847,0.26785714285714285,SHORT,E2,TAKE,SHORT,2848,2849,2,E2_BREAK_ACCEPT_LOW_SHORT,5993.25,0.9333333333333333,lo_5
2997,0.10714285714285714,SHORT,E2,TAKE,LONG,3000,3001,4,E2_BREAK_ACCEPT_HIGH_LONG,5995.75,7.0,hi_5
3032,0.19642857142857142,SHORT,E2,TAKE,SHORT,3034,3035,3,E2_BREAK_ACCEPT_LOW_SHORT,5996.0,2.5454545454545454,lo_5
3209,0.4642857142857143,SHORT,E2,TAKE,LONG,3212,3213,4,E2_BREAK_ACCEPT_HIGH_LONG,5995.75,1.0769230769230769,hi_5
3316,0.30357142857142855,SHORT,E2,TAKE,SHORT,3319,3320,4,E2_BREAK_ACCEPT_LOW_SHORT,5993.75,4.9411764705882355,lo_5
3455,0.4642857142857143,SHORT,E2,TAKE,SHORT,3456,3457,2,E2_BREAK_ACCEPT_LOW_SHORT,5992.5,1.0769230769230769,lo_5
3537,0.8035714285714286,LONG,E2,TAKE,SHORT,3539,3540,3,E2_BREAK_ACCEPT_LOW_SHORT,5985.0,1.5555555555555556,lo_5
3577,0.7142857142857143,SHORT,E2,TAKE,SHORT,3577,3578,1,E2_BREAK_ACCEPT_LOW_SHORT,5986.25,1.05,lo_5
3600,4.267857142857143,SHORT,E2,TAKE,SHORT,3602,3603,3,E2_BREAK_ACCEPT_LOW_SHORT,5981.25,0.8200836820083681,lo_5
3614,3.267857142857143,LONG,E2,TAKE,LONG,3614,3615,1,E2_BREAK_ACCEPT_HIGH_LONG,5990.25,0.8415300546448088,hi_5
3772,1.1785714285714286,SHORT,E2,TAKE,SHORT,3773,3774,2,E2_BREAK_ACCEPT_LOW_SHORT,6007.0,1.909090909090909,lo_5
3847,1.6071428571428572,LONG,E2,TAKE,LONG,3847,3848,1,E2_BREAK_ACCEPT_HIGH_LONG,5991.75,0.4666666666666667,hi_5
3948,0.9821428571428571,SHORT,E2,TAKE,LONG,3950,3951,3,E2_BREAK_ACCEPT_HIGH_LONG,6002.75,3.563636363636364,hi_5
3994,0.6964285714285714,LONG,E2,TAKE,LONG,3994,3995,1,E2_BREAK_ACCEPT_HIGH_LONG,6005.25,0.717948717948718,hi_5
4061,0.25,LONG,E2,TAKE,LONG,4061,4062,1,E2_BREAK_ACCEPT_HIGH_LONG,6004.75,3.0,hi_5
4089,0.10714285714285714,SHORT,E2,TAKE,SHORT,4092,4093,4,E2_BREAK_ACCEPT_LOW_SHORT,6003.75,9.333333333333334,lo_5
4123,0.2857142857142857,LONG,E2,TAKE,LONG,4123,4124,1,E2_BREAK_ACCEPT_HIGH_LONG,6004.5,1.75,hi_5
4237,0.21428571428571427,LONG,E2,TAKE,LONG,4237,4238,1,E2_BREAK_ACCEPT_HIGH_LONG,6003.75,0.0,hi_5
4268,0.3392857142857143,LONG,E2,TAKE,SHORT,4270,4271,3,E2_BREAK_ACCEPT_LOW_SHORT,6006.25,2.9473684210526314,lo_5
4465,0.35714285714285715,LONG,E2,TAKE,LONG,4465,4466,1,E2_BREAK_ACCEPT_HIGH_LONG,6004.5,0.7,hi_5
4656,0.30357142857142855,LONG,E2,TAKE,SHORT,4657,4658,2,E2_BREAK_ACCEPT_LOW_SHORT,6005.5,0.823529411764706,lo_5
4668,0.2857142857142857,SHORT,E2,TAKE,LONG,4670,4671,3,E2_BREAK_ACCEPT_HIGH_LONG,6006.5,2.625,hi_5
4678,0.2857142857142857,LONG,E2,TAKE,LONG,4681,4682,4,E2_BREAK_ACCEPT_HIGH_LONG,6007.25,2.625,hi_5
4905,4.232142857142857,LONG,E2,TAKE,SHORT,4908,4909,4,E2_BREAK_ACCEPT_LOW_SHORT,6028.0,0.8270042194092828,lo_5
4937,3.1607142857142856,LONG,E2,TAKE,LONG,4937,4938,1,E2_BREAK_ACCEPT_HIGH_LONG,6027.75,1.423728813559322,hi_5
4981,2.392857142857143,LONG,E2,TAKE,LONG,4981,4982,1,E2_BREAK_ACCEPT_HIGH_LONG,6023.75,1.3582089552238807,hi_5
4990,2.1607142857142856,SHORT,E2,TAKE,SHORT,4990,4991,1,E2_BREAK_ACCEPT_LOW_SHORT,6019.5,1.0413223140495869,lo_5
5005,1.9285714285714286,LONG,E2,TAKE,LONG,5005,5006,1,E2_BREAK_ACCEPT_HIGH_LONG,6027.25,0.7777777777777778,hi_5
5180,0.7857142857142857,SHORT,E2,TAKE,SHORT,5180,5181,1,E2_BREAK_ACCEPT_LOW_SHORT,6047.0,0.6363636363636364,lo_5
5256,1.8571428571428572,SHORT,E2,TAKE,LONG,5259,5260,4,E2_BREAK_ACCEPT_HIGH_LONG,6059.5,0.8076923076923077,hi_5
5266,1.6428571428571428,LONG,E2,TAKE,LONG,5266,5267,1,E2_BREAK_ACCEPT_HIGH_LONG,6061.75,0.9130434782608696,hi_5
5326,0.6785714285714286,SHORT,E2,TAKE,SHORT,5327,5328,2,E2_BREAK_ACCEPT_LOW_SHORT,6061.0,2.5789473684210527,lo_5
5435,0.23214285714285715,LONG,E2,TAKE,LONG,5436,5437,2,E2_BREAK_ACCEPT_HIGH_LONG,6063.5,2.1538461538461537,hi_5
5529,0.30357142857142855,SHORT,E2,TAKE,LONG,5532,5533,4,E2_BREAK_ACCEPT_HIGH_LONG,6064.5,1.647058823529412,hi_5
5558,0.32142857142857145,LONG,E2,TAKE,LONG,5559,5560,2,E2_BREAK_ACCEPT_HIGH_LONG,6066.75,2.333333333333333,hi_5
5720,0.19642857142857142,SHORT,E2,TAKE,SHORT,5721,5722,2,E2_BREAK_ACCEPT_LOW_SHORT,6066.0,3.8181818181818183,lo_5
5730,0.19642857142857142,LONG,E2,TAKE,LONG,5730,5731,1,E2_BREAK_ACCEPT_HIGH_LONG,6066.5,1.2727272727272727,hi_5
5762,0.17857142857142858,SHORT,E2,TAKE,SHORT,5762,5763,1,E2_BREAK_ACCEPT_LOW_SHORT,6066.5,0.0,lo_5
5793,0.35714285714285715,LONG,E2,TAKE,SHORT,5794,5795,2,E2_BREAK_ACCEPT_LOW_SHORT,6066.25,2.1,lo_5
5969,0.4107142857142857,LONG,E2,TAKE,LONG,5970,5971,2,E2_BREAK_ACCEPT_HIGH_LONG,6065.5,3.0434782608695654,hi_5
6079,0.25,SHORT,E2,TAKE,LONG,6082,6083,4,E2_BREAK_ACCEPT_HIGH_LONG,6070.0,1.0,hi_5
6207,1.5714285714285714,LONG,E2,TAKE,LONG,6207,6208,1,E2_BREAK_ACCEPT_HIGH_LONG,6042.75,0.6363636363636364,hi_5
