feature,feature_label,winner_N,loser_N,winner_mean,loser_mean,winner_median,loser_median,mean_difference_W_minus_L,median_difference_W_minus_L,standardized_effect_Cohen_d,absolute_effect,relationship,LOO_stability,LOO_sign_consistency,LOO_min_effect_ratio,effect_without_best_trade,effect_without_worst_trade,effect_without_top2_winners,effect_without_top2_losers,outlier_dependence,outlier_min_effect_ratio
confirm_rejection_wick_atr,Confirmation rejection wick / ATR,17,25,0.27783683558148126,0.32013205547449325,0.20657060628286428,0.24261050939678647,-0.04229521989301199,-0.03603990311392219,-0.13412987861012074,0.13412987861012074,Lower among winners,PARTIALLY STABLE,0.9761904761904762,0.6701611159102945,-0.21881316273957022,-0.1662111874435822,-0.22846496043788087,-0.17890789630992548,ROBUST TO LISTED REMOVALS,1.239180927962465
retest_distance_atr,Retest probe distance to BOS / ATR,17,25,0.23903130234540892,0.21607790549136346,0.17853722607100062,0.20861529359889552,0.02295339685404546,-0.03007806752789491,0.1204456944175698,0.1204456944175698,Lower among winners,UNSTABLE,0.9523809523809523,0.0861958842444079,-0.010381923133754174,0.0878140302453658,0.06172789878831587,0.047177432222461874,SENSITIVE TO OUTLIER REMOVAL,0.0861958842444079
bos_close_beyond_structure_atr,BOS close beyond structure / ATR,17,25,0.3550107270192486,0.3207976209762839,0.27763127044769836,0.19839651834800648,0.03421310604296468,0.07923475209969189,0.11429252477907456,0.11429252477907456,Higher among winners,UNSTABLE,1.0,0.02787398870263612,0.13822256445582015,0.09624163997902811,0.030594920553548215,0.06753180535814747,SENSITIVE TO OUTLIER REMOVAL,0.2676896027337541
bos_body_pct_range,BOS body / range,17,25,0.7013377293662482,0.6805629841731382,0.7435897435897436,0.6916666666666667,0.020774745193109956,0.05192307692307696,0.1106816603731673,0.1106816603731673,Higher among winners,UNSTABLE,1.0,0.15818722369486865,0.05016338540033735,0.1310569665206702,0.13494004664882106,0.060392343101684766,SENSITIVE TO OUTLIER REMOVAL,0.45322219806975833
htf_alignment,HTF regime aligned (0/1),17,25,0.35294117647058826,0.4,0.0,0.0,-0.047058823529411764,0.0,-0.09467621366623018,0.09467621366623018,Lower mean among winners; medians equal,UNSTABLE,1.0,0.47189346220855144,-0.050000000000000044,-0.12767584682099828,0.0,-0.07729548667472498,SENSITIVE TO OUTLIER REMOVAL,0.0
setup_score,Original setup score,17,25,82.05882352941177,81.4,75.0,75.0,0.6588235294117624,0.0,0.07976309729091086,0.07976309729091086,Higher mean among winners; medians equal,UNSTABLE,0.9761904761904762,0.24659526421740635,0.01966920205125085,0.12335072477214402,0.07231429871170045,0.09097037556911135,SENSITIVE TO OUTLIER REMOVAL,0.24659526421740635
confirm_body_atr,Confirmation body / ATR,17,25,0.49295194721412067,0.5189190303756389,0.4694549523870345,0.43111309947239673,-0.025967083161518245,0.038341852914637764,-0.07151794189821341,0.07151794189821341,Higher among winners,UNSTABLE,0.9285714285714286,0.14335235268543503,-0.057801257417976,-0.11478974614673641,-0.04688939204876665,-0.12389616196713892,ROBUST TO LISTED REMOVALS,0.6556311717624804
setup_structure_distance_atr,Setup close beyond structure / ATR,17,25,0.3550107270192486,0.3783536510092049,0.27763127044769836,0.20732598201986221,-0.023342923989956355,0.07030528842783615,-0.06739777888395106,0.06739777888395106,Higher among winners,UNSTABLE,0.9285714285714286,0.12063649180337077,-0.04496026121169164,-0.08823788285104688,-0.1406275441048604,-0.11942552472782675,ROBUST TO LISTED REMOVALS,0.6670881734709169
confirm_close_location,Confirmation close location (low to high),17,25,0.5026326253570627,0.48292840515076235,0.3559322033898305,0.45161290322580644,0.019704220206300305,-0.09568069983597594,0.0621468336624295,0.0621468336624295,Lower among winners,UNSTABLE,0.9285714285714286,0.06204822859378454,0.0943804006997535,0.06016619306055738,-0.0040126793308714725,0.13314455239787135,SENSITIVE TO OUTLIER REMOVAL,0.0645677196149305
directional_room_to_structure_atr,Directional room to active structure / ATR,17,25,-0.7352901412499413,-0.7723480130291529,-0.8950040879567361,-0.7736305844624319,0.037057871779211604,-0.1213735034943042,0.059598241931573835,0.059598241931573835,Lower among winners,UNSTABLE,0.9523809523809523,0.09295136234598976,0.13529547960170166,0.09171832792522074,-0.16057868659842262,0.06563035463391141,SENSITIVE TO OUTLIER REMOVAL,1.1012129302280962
setup_displacement_component,Setup displacement component,17,25,10.588235294117647,10.2,15.0,15.0,0.38823529411764746,0.0,0.05465775250835755,0.05465775250835755,Higher mean among winners; medians equal,UNSTABLE,0.8095238095238095,0.09612231159550283,0.015719843801958937,0.08226365353781008,-0.0277490564112053,0.021760147592022796,SENSITIVE TO OUTLIER REMOVAL,0.2876050163159428
bos_to_retest_bars,Bars BOS to retest,17,25,1.6470588235294117,1.6,1.0,1.0,0.0470588235294116,0.0,0.03249643796361992,0.03249643796361992,Higher mean among winners; medians equal,UNSTABLE,0.9285714285714286,0.46389162501797865,0.05982183284882912,0.015074825414239578,0.0,-0.003458957237934613,SENSITIVE TO OUTLIER REMOVAL,0.0
minutes_since_midnight,Entry minute of exchange day,17,25,787.9411764705883,777.8,805.0,755.0,10.141176470588334,50.0,0.025596452016474595,0.025596452016474595,Higher among winners,UNSTABLE,0.7142857142857143,0.12006639845424165,0.06582464028647121,0.09706308139329749,0.06482063004436496,0.018905032858679116,ROBUST TO LISTED REMOVALS,0.7385802081675736
setup_range_atr,Setup range / ATR,17,25,1.7008720588075656,1.6931308928100521,1.4742631200002463,1.341973490677779,0.0077411659975135105,0.13228962932246735,0.007792344954807498,0.007792344954807498,Higher among winners,UNSTABLE,0.5,0.3565774028870015,-0.06569529679858775,0.01152389130201642,-0.14975069329631774,-0.007263379156602758,SENSITIVE TO OUTLIER REMOVAL,0.9321172508054338
setup_structure_component,Setup structure component,17,25,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,No observed difference,UNSTABLE,0.0,0.0,0.0,0.0,0.0,0.0,SENSITIVE TO OUTLIER REMOVAL,0.0
setup_bias_component,Setup bias component,17,25,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,No observed difference,UNSTABLE,0.0,0.0,0.0,0.0,0.0,0.0,SENSITIVE TO OUTLIER REMOVAL,0.0
retest_touch_count_through_accept,BOS-region touches through retest,17,25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,No observed difference,UNSTABLE,0.0,0.0,0.0,0.0,0.0,0.0,SENSITIVE TO OUTLIER REMOVAL,0.0
phase3_bias_alignment,Phase-3 bias aligned (0/1),17,25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,No observed difference,UNSTABLE,0.0,0.0,0.0,0.0,0.0,0.0,SENSITIVE TO OUTLIER REMOVAL,0.0
